	TFPI	VIIa_TF	VIIa_TF_X	VIIa_TF_Xa	X	Xa	Xa_TFPI	Xa_TFPI_VIIa_TF
32	0.004094573379768023	0.12064229535003039	0.008866013315546033	0.12235650648810281	17.485290053131425	149.98748200044605	1.6477705417739088	0.7481348848463197
33	0.004062539731498172	0.11782852845217875	0.008372665373073629	0.11979039315008075	16.906818108281616	150.5689813729281	1.641929347243834	0.7540081130246659
34	0.004032799764106426	0.11521600838182317	0.007922147187181075	0.11740017921469707	16.359988838338086	151.11862163502548	1.6365058350195938	0.7594613652162978
35	0.004005140189898945	0.11278944803810848	0.007509723797914462	0.11517399649392278	15.84209159727499	151.63912982262434	1.631468328140045	0.7645265316700532
36	0.003979372255686967	0.11053483957148275	0.007131268557861019	0.11310075631404676	15.3507123389935	152.13293500839154	1.6267877921877019	0.7692328355566085
37	0.003955328320859762	0.10843933197132195	0.0067831745436190355	0.1111701054918131	14.883695892750847	152.60220615553578	1.6224375836858929	0.7736070879932448
38	0.003932859000623694	0.10649112232316862	0.006462280389138266	0.10937238265610752	14.439113677117199	153.0488845188393	1.61839322636779	0.7776739146315849
39	0.00391183076691272	0.10467935891066615	0.006165807962222978	0.10769857563932238	14.015235974711876	153.4747114724547	1.6146322117452974	0.7814559574877874
40	0.0038921239225333357	0.10299405477860148	0.005891309782133682	0.10614028029751833	13.610508047664652	153.8812524861793	1.6111338209357189	0.7849740551417457
41	0.0038736308816256842	0.10142601035375974	0.005636624513832997	0.10468966114917576	13.223529499175829	154.2699178460437	1.6078789651351413	0.7882474039832301
42	0.003856254702887464	0.09996674405595594	0.005399839162910399	0.10333941395506135	12.853036386477976	154.6419806151078	1.604850042471039	0.791293702826071
43	0.0038399078327086083	0.09860842995337939	0.005179256856070724	0.10208273032309838	12.497885675697798	154.99859224495677	1.602030809299839	0.7941292828674507
44	0.0038245110234722455	0.09734384163003938	0.0049733692953580514	0.10091326436234899	12.157041695579279	155.34079618178743	1.599406264264275	0.7967692247122526
45	0.00380999239877293	0.09616630154052361	0.004780833137566793	0.09982510136871989	11.829564302558742	155.66953975533474	1.5969625436480381	0.7992274639531889
46	0.003796286642478833	0.09506963524322244	0.004600449678615508	0.09881272848130784	11.514598515829517	155.98568459265402	1.5946868267606682	0.8015168865968537
47	0.003783334292617952	0.09404812996202368	0.004431147331197772	0.09787100724006183	11.211365418185308	156.2900157615371	1.5925672502406665	0.8036494154667161
48	0.0037710811244092766	0.09309649700916496	0.004271966470768048	0.09699514795399529	10.919154150155027	156.58324981654562	1.5905928303095196	0.805636088566071
49	0.0037594776094329154	0.0922098376474509	0.004122046295980861	0.09618068580018792	10.637314851370034	156.8660418941442	1.5887533921341872	0.8074871302563784
50	0.0037484784400158714	0.0913836120471688	0.003980613404550106	0.09542345853198572	10.365252423681843	157.13899198282263	1.5870395055436886	0.8092120160162933
51	0.0037380421097562185	0.09061361099232068	0.003846971839653685	0.09471958572652474	10.102421009834954	157.4026504747095	1.585442426448743	0.810819531441499
52	0.0037281305425398725	0.08989593007988894	0.003720494394851108	0.09406544945839768	9.848319096748524	157.6575230899417	1.583954043390598	0.8123178260668603
53	0.0037187087635197993	0.08922694614672347	0.0036006150022418093	0.09345767631136985	9.602485164266964	157.90407525318392	1.5825668286968173	0.8137144625396626
54	0.003709744606623858	0.08860329570363441	0.0034868220554545265	0.09289312064920377	9.36449381264203	158.142735989261	1.5812737938016717	0.8150164615917053
55	0.003701208453882282	0.08802185520322106	0.003378652537726041	0.0923688490355425	9.133952310051592	158.37390139683	1.5800684483226108	0.816230343223509
56	0.0036930730026004006	0.08747972293625393	0.00327568685102574	0.09188212575382074	8.910497509973593	158.59793775042522	1.5789447625385038	0.8173621644588983
57	0.0036853130569363224	0.08697420242719717	0.00317754425112387	0.09143039932565102	8.693793094445494	158.81518427503568	1.5778971329470393	0.8184175539960266
58	0.0036779053409693703	0.08650278716961828	0.0030838788128309644	0.09101128998106563	8.483527105563033	159.025955630985	1.5769203506225498	0.8194017440364835
59	0.003670828330699349	0.08606314661958056	0.0029943758529484186	0.09062257797376126	8.279409731840218	159.2305441426648	1.5760095721155953	0.8203195995537081
60	0.003664062102773271	0.08565311325717888	0.0029087487612147536	0.0902621927484424	8.081171320382666	159.4292218002115	1.5751602926640675	0.8211756452331618
61	0.0036575881980628415	0.08527067071424561	0.002826736179780955	0.08992820282154215	7.8885605899588604	159.622242059239	1.5743683215175102	0.8219740902844299
62	0.0036513894983999174	0.08491394280737564	0.002748099494688677	0.08961880637949732	7.701343022342113	159.80984146128318	1.573629759183166	0.8227188513184368
63	0.0036454501150501033	0.08458118342026631	0.0026726206000313004	0.08933232252847473	7.519299412772137	159.99224109421542	1.5729409764337265	0.8234135734512262
64	0.0036397552876422383	0.08427076717349577	0.0026000999010880634	0.08906718313692005	7.342224562189933	160.16964791006077	1.5722985949238655	0.8240616497884947
65	0.0036342912924430732	0.08398118079283275	0.002530354530564554	0.08882192524906041	7.169926096099952	160.34225591541386	1.571699469280018	0.824666239427541
66	0.00362904535899788	0.083711015136652	0.0024632167513934226	0.08859518401134543	7.002223396667525	160.5102472479298	1.5711406705403965	0.825230284100608
67	0.0036240055942938156	0.08345895782467054	0.0023985325248631725	0.08838568608319224	6.83894663644861	160.67379315053861	1.5706194708384358	0.8257565235672719
68	0.003619160913662711	0.08322378639905029	0.0023361602292545254	0.08819224350926647	6.6799359029989755	160.83305485417705	1.5701333292239121	0.8262475098624267
69	0.0036145009777583	0.08300436201774046	0.0022759695037249767	0.08801374798782101	6.525040405136468	160.98818437835064	1.5696798785315313	0.8267056204907111
70	0.0036100161350042124	0.08279962358265454	0.002217840213823268	0.08784916555101088	6.374117752524803	161.13932525784637	1.5692569132124878	0.8271330706525092
71	0.0036056973690008812	0.08260858232803864	0.0021616615163330562	0.08769753158201969	6.227033301443185	161.2866132028286	1.5688623780573927	0.8275319245736067
