time	CC	CCPT	CLK	PDP	PER	PT	TIM	VRI	clkm	clkp	pdpm	pdpp	perm	perp	prcpdp	prcper	prct	prcv	prpc	prvc	timm	timp	vrim	vrip
27.0.36.0	2.358317100813315	0.46850832777486506	4.370470520801946	4.02022505960723	2.582634487007195	0.08953029247511801	2.582634487007196	3.100958518879103	0.266670131281781	0.003185	0.311364185918857	0.003185	0.24202981009350502	0.003185	0.21273234599641302	0.18569415829058303	0.18569415829058303	0.251126307586962	0.431762181221475	0.480465006213432	0.24202981009350502	0.003185	0.267068889883186	0.003185
28.0.08.0	2.753153255281917	0.48359400413323306	4.550492256479894	3.992525423656322	2.620627248425988	0.079223092214875	2.620627248425988	3.215795434693253	0.26716500099603	0.003185	0.31610981831906504	0.003185	0.250363471536834	0.003185	0.274034941242772	0.245058957367586	0.245058957367586	0.325153710949799	0.42760346932587906	0.48586016071455	0.250363471536834	0.003185	0.281982550352677	0.003185
28.0.799999999999997.0	2.956818061400051	0.5040059206020391	4.654156850218449	3.9748245814051772	2.674652021662586	0.07690933611923101	2.674652021662586	3.379008231127684	0.266124801271688	0.003185	0.322278468468223	0.003185	0.260680021857228	0.003185	0.331629230448986	0.297542170603319	0.297542170603319	0.38696444698798604	0.42038981650990703	0.49500915459777106	0.260680021857228	0.003185	0.29938838355103203	0.003185
29.0.52.0	2.943518901139681	0.52722255249781	4.665905694003276	3.967377974443818	2.737354578489729	0.08082212729554801	2.737354578489727	3.573579750303827	0.26350468095510204	0.003185	0.32914810347518403	0.003185	0.272043248836688	0.003185	0.37966419615138003	0.33785425529346	0.33785425529346	0.431314422600642	0.410924668013575	0.506809054161315	0.272043248836688	0.003185	0.31783178456127203	0.003185
30.0.24.0	2.706515677998675	0.551233940517119	4.580654087774827	3.969658836000267	2.804438482912855	0.09189073388570601	2.804438482912852	3.784303255685667	0.25949876328647103	0.003185	0.33624871140940804	0.003185	0.28378078585362804	0.003185	0.41449210766531003	0.363082767544453	0.363082767544453	0.45635628012911406	0.40024487631059	0.5199685284248801	0.28378078585362804	0.003185	0.336354752919845	0.003185
30.0.959999999999997.0	2.257101828846308	0.574156501715135	4.402529253985214	3.980733829979926	2.874566849343643	0.11473035606425101	2.8745668493436423	3.999661506308556	0.254461403937989	0.003185	0.34330599065825	0.003185	0.295433814339834	0.003185	0.43414936639170704	0.371853982582729	0.371853982582729	0.461828342936458	0.38929227887286005	0.5333744161643881	0.295433814339834	0.003185	0.354344451149297	0.003185
31.0.68.0	1.6300266977729692	0.592850188748651	4.144251894839597	3.999499859726276	2.9505861668832303	0.163908762315456	2.950586166883229	4.211316926123449	0.248803935177269	0.003185	0.350156769849712	0.003185	0.30665439270668704	0.003185	0.43764112248481	0.363504353461292	0.363504353461292	0.44763874718488306	0.378765767562009	0.546225882520419	0.30665439270668704	0.003185	0.371343313799797	0.003185
32.0.4.0	0.916111471744335	0.59719295416806	3.831756333544552	4.02479727986403	3.047603429802272	0.29301488153729904	3.047603429802272	4.412628820831807	0.24291517401564003	0.003185	0.35668084941306405	0.003185	0.317099757882502	0.003185	0.424707645822108	0.337984154857402	0.337984154857402	0.41364127219720803	0.36911945135574503	0.558007895299647	0.317099757882502	0.003185	0.386874821980559	0.003185
33.0.12.0	0.36738663630288104	0.561908681019882	3.528023136597326	4.05543706517518	3.222076547475475	0.684357396587119	3.2220765474754742	4.596915518495813	0.23712129972009402	0.003185	0.362753204983465	0.003185	0.326348979105039	0.003185	0.39771008447146605	0.298441579134677	0.298441579134677	0.363048951462344	0.36063318812004	0.5683946644797241	0.326348979105039	0.003185	0.40030480093618503	0.003185
33.0.839999999999996.0	0.161143728052472	0.5190737390309831	3.321589735047082	4.090188513853931	3.518393846069805	1.444521314130243	3.518393846069806	4.756575876105137	0.23167965602494503	0.003185	0.36824041535677304	0.003185	0.333969456237502	0.003185	0.364602974463335	0.254982047608921	0.254982047608921	0.307999207529986	0.35349715481353206	0.5771513698528901	0.333969456237502	0.003185	0.410952040047009	0.003185
34.0.56.0	0.095147272917595	0.49751120345043803	3.19997639983564	4.127798574541538	3.847229583987946	2.348413428406304	3.8472295839879482	4.88479962178491	0.22679019991971303	0.003185	0.373039331562724	0.003185	0.339716075602212	0.003185	0.331831819404778	0.21536245176357702	0.21536245176357702	0.25818686120057505	0.347854898879616	0.584101379581312	0.339716075602212	0.003185	0.41844708082264803	0.003185
35.0.28.0	0.06695269059000701	0.48437682458630504	3.118019326045624	4.16703735061344	4.14849176205515	3.251115836913659	4.14849176205515	4.977574938810993	0.222604836512753	0.003185	0.377077043805429	0.003185	0.343528893948487	0.003185	0.301226590841327	0.18120333271396902	0.18120333271396902	0.215588459460541	0.34378894984637903	0.589152930132537	0.343528893948487	0.003185	0.42274785755889305	0.003185
36.0.	0.052218944689354	0.47488325817653304	3.057129866069173	4.206725367985549	4.406293671427353	4.088065888397633	4.406293671427353	5.033796593632236	0.21922868041507101	0.003185	0.38029919946486	0.003185	0.345459689641658	0.003185	0.27313939362807604	0.15226507806775702	0.15226507806775702	0.17980842078330603	0.34130477271451504	0.592310580444936	0.345459689641658	0.003185	0.424009159333665	0.003185
36.0.72.0	0.043618572649895	0.46782423497741904	3.011811523852145	4.24574985164653	4.617195544655623	4.822674457473667	4.617195544655618	5.054602226598451	0.21672021429548402	0.003185	0.38266775706522005	0.003185	0.345631570073962	0.003185	0.24755060984624203	0.127935580363506	0.127935580363506	0.14999056265621002	0.34033868138914003	0.593658624781218	0.345631570073962	0.003185	0.42250320275831305	0.003185
37.0.44.0	0.038329193045760004	0.462875307358376	2.9803549111993553	4.28307838544014	4.781209462279525	5.431539056414016	4.78120946227952	5.042657027380059	0.215094975396624	0.003185	0.384160998285065	0.003185	0.344211842384473	0.003185	0.22432870148686102	0.107567257880346	0.107567257880346	0.125251215365136	0.340777486692724	0.593335249382276	0.344211842384473	0.003185	0.41856623274640403	0.003185
38.0.16.0	0.035066665126382006	0.459900105378903	2.961887357648979	4.317771085660994	4.899573524384146	5.900185863698929	4.89957352438414	5.001544956665459	0.214332592628449	0.003185	0.38477331669791304	0.003185	0.34139123482056305	0.003185	0.203307672009148	0.09056474754907501	0.09056474754907501	0.10478930322454601	0.342478443342476	0.5915089258758041	0.34139123482056305	0.003185	0.41255991555382904	0.003185
38.0.879999999999995.0	0.033182763167131	0.45877761705060605	2.955577807639882	4.348990821689991	4.974111125169652	6.221403126437316	4.974111125169648	4.935294374753524	0.21438533905133803	0.003185	0.38451439819320304	0.003185	0.337368293285078	0.003185	0.184315359940594	0.07640661030633	0.07640661030633	0.08791115120107701	0.34528504507204705	0.5883606539153321	0.337368293285078	0.003185	0.40484447115176503	0.003185
39.0.6.0	0.032334663981105	0.459364855164872	2.960466842853632	4.376010947877003	5.006981829076382	6.394128356922819	5.00698182907638	4.848032760615536	0.21518655632334902	0.003185	0.383407874325537	0.003185	0.33233834596341305	0.003185	0.16718520144954901	0.064646403055255	0.064646403055255	0.074029057174753	0.34903803868486905	0.5840720205151211	0.33233834596341305	0.003185	0.39576133451873	0.003185
40.0.32.0	0.03234769181265	0.46149547378151706	2.975472970610475	4.398220256592455	5.000542233742797	6.422417162172037	5.000542233742796	4.743752966647372	0.21665797942162301	0.003185	0.38148963471774605	0.003185	0.32648630680990404	0.003185	0.151761524646463	0.054907004003207006	0.054907004003207006	0.062651671324756	0.35358243608561	0.5788178693678141	0.32648630680990404	0.003185	0.385623179972487	0.003185
41.0.04.0	0.033155173196804	0.46498699680819705	2.999442988754088	4.415125140521639	4.957247660626916	6.314430649013677	4.957247660626913	4.626169217253609	0.218715577794689	0.003185	0.378805991830153	0.003185	0.31998252198557303	0.003185	0.137902104623802	0.046873142901035	0.046873142901035	0.053372557935621005	0.358771583509131	0.572762260602924	0.31998252198557303	0.003185	0.374709338185987	0.003185
