	APC	HC	HC3	HC36	HC5	HC53	HC536	HC56	LC	LC_APC	Va	Va3	Va36	Va36_APC	Va3_APC	Va5	Va53	Va536	Va536_APC	Va53_APC	Va56	Va56_APC	Va5_APC	VaA3	VaA36	VaA53	VaA536	VaLCA1	VaLCA1_APC	Va_APC
32	3.546913403708642e-10	1.5604380532447814e-10	1.7600829564239315e-12	6.892696911028011e-16	6.066217160642625e-10	7.08404751073969e-11	3.4350813674351895e-13	2.231389448084439e-12	7.975164871335442e-10	4.032517917353639e-11	5.537286912928808e-11	1.8901797631658953e-11	9.093341305814411e-15	3.341857779728683e-16	4.560874865393736e-13	6.302382843310485e-08	8.024012298135343e-09	6.863835921971138e-11	5.969036126343768e-12	6.538329890016969e-10	4.847587480380001e-10	2.4513698709170002e-11	2.936464226414943e-09	2.933394480159625e-09	1.149519864916023e-12	1.2033948338419242e-07	5.902460184418621e-10	1.1788165325463725e-07	5.982620148021468e-09	1.126960509575111e-12
33	3.5469134037096286e-10	1.5604993447907987e-10	1.763951113073636e-12	6.911358675522278e-16	6.193926354462286e-10	7.247615341238695e-11	3.5766420701872404e-13	2.331314529503274e-12	8.113437601944543e-10	4.102858412870441e-11	4.291569351017595e-11	1.9020934795512402e-11	9.16282063574079e-15	3.337341882183678e-16	4.4945039011261704e-13	6.088810605141667e-08	7.84444748761407e-09	6.861236557605292e-11	5.946743266328281e-12	6.363407528442192e-10	4.839818957858982e-10	2.441212726337858e-11	2.8366771328699536e-09	2.9286094360378064e-09	1.1482664446454271e-12	1.227529783125384e-07	6.13098081638107e-10	1.201962539886576e-07	6.099580108001233e-09	8.734271308334831e-13
34	3.54691340365062e-10	1.5605372379487247e-10	1.767847122496776e-12	6.930179249022847e-16	6.317294486084291e-10	7.407544985236023e-11	3.7181030757719436e-13	2.431023064415277e-12	8.247209096602679e-10	4.170908610780811e-11	3.326510191384417e-11	1.9178447622187198e-11	9.249853130354258e-15	3.3452770475110477e-16	4.457352487228856e-13	5.882273426835978e-08	7.672124998457031e-09	6.854721144713122e-11	5.921106517985283e-12	6.195007485506729e-10	4.827006930649665e-10	2.4289246599390302e-11	2.740239865774844e-09	2.923672520885245e-09	1.1469598706337775e-12	1.250833172192757e-07	6.357992691816877e-10	1.224314104599868e-07	6.212525509226321e-09	6.770270814034784e-13
35	3.546913403710864e-10	1.5605569150398895e-10	1.7717777726899173e-12	6.949189601191265e-16	6.43646491522743e-10	7.563982779757885e-11	3.859386368908534e-13	2.5304145113608868e-12	8.376633663627558e-10	4.236747030145671e-11	2.5783910834285053e-11	1.9362705932859662e-11	9.349057845953792e-15	3.3624631812275215e-16	4.4421320405439135e-13	5.682585885856885e-08	7.506735682130484e-09	6.844569040797208e-11	5.892382204642009e-12	6.032877050440451e-10	4.809500290959315e-10	2.4146615229811906e-11	2.647049395577921e-09	2.9186042871080365e-09	1.145608821207059e-12	1.273333928627552e-07	6.583347757941695e-10	1.2458988174798017e-07	6.321595786498257e-09	5.247553223221375e-13
36	3.546913403705753e-10	1.5605623283411717e-10	1.7757476133765362e-12	6.968410358837374e-16	6.551577151664176e-10	7.717068774150619e-11	4.000419591209351e-13	2.6293954120928004e-12	8.501860230683736e-10	4.3004494499293555e-11	1.998669543808873e-11	1.9564958175201472e-11	9.456397105789154e-15	3.3862345676623796e-16	4.4433469737552295e-13	5.4895559092463763e-08	7.347981328700555e-09	6.831042631132504e-11	5.8608119244182495e-12	5.876772059813448e-10	4.787630508984827e-10	2.398571105005077e-11	2.5570035013831287e-09	2.913421074614884e-09	1.1442200545769834e-12	1.2950599950542844e-07	6.806909964111358e-10	1.2667433030891775e-07	6.426925487591125e-09	4.0677387914655903e-13
37	3.546913403698679e-10	1.5605565866033326e-10	1.779759689242736e-12	6.987855197989449e-16	6.662766700904246e-10	7.866937035972469e-11	4.1411355848915674e-13	2.727878916781455e-12	8.623032596223536e-10	4.362089043816222e-11	1.5492105193115696e-11	1.9778423083161155e-11	9.568741741889101e-15	3.414556035554056e-16	4.4567184062091444e-13	5.302989154271292e-08	7.195575598368873e-09	6.81438911798451e-11	5.826623800846399e-12	5.726457318873021e-10	4.761712498395581e-10	2.3807935857385145e-11	2.4700016457720942e-09	2.908136302336022e-09	1.1427990048765328e-12	1.316038356394384e-07	7.028554338901713e-10	1.2868732570162837e-07	6.528644473040964e-09	3.1534553706893486e-13
38	3.546913401085647e-10	1.560542043569019e-10	1.783815709196419e-12	7.007531627170649e-16	6.770164976260732e-10	8.013715670662438e-11	4.281472322822724e-13	2.82578472311607e-12	8.740289468579416e-10	4.421736024941556e-11	1.2011971758059182e-11	1.9998107239049104e-11	9.683761447968731e-15	3.446550035238303e-16	4.4787636812999373e-13	5.122690026291424e-08	7.049244525024651e-09	6.794840781640329e-11	5.790032653204537e-12	5.581708037502109e-10	4.732044685589037e-10	2.3614615658308267e-11	2.3859458935070763e-09	2.90276075159909e-09	1.1413499115354338e-12	1.3362950348573592e-07	7.248166859691464e-10	1.306313449661779e-07	6.626877307037657e-09	2.4442601234205033e-13
39	3.5469134039856185e-10	1.5605205853341327e-10	1.7879165868809272e-12	7.027443483687693e-16	6.873899420004975e-10	8.157527403411421e-11	4.4213722880752704e-13	2.923038353682807e-12	8.85376471448521e-10	4.4794598033223567e-11	9.31572078233887e-12	2.0220034445466037e-11	9.799661839811253e-15	3.4801659825220525e-16	4.5074132430518375e-13	4.948464906869086e-08	6.908725457222391e-09	6.772617124044261e-11	5.7512416554352735e-12	5.442303386003603e-10	4.69891049899541e-10	2.340700848238033e-11	2.3047378812351115e-09	2.897303571333351e-09	1.1398762881909273e-12	1.355855167145119e-07	7.465643139544652e-10	1.325087775670072e-07	6.7217469090806235e-09	1.8959317331078896e-13
40	3.546913403567696e-10	1.5604936766859323e-10	1.7920625199964984e-12	7.047591305707883e-16	6.974093650000538e-10	8.298489836762143e-11	4.560782227354306e-13	3.019570844660874e-12	8.963588010894152e-10	4.535324629337662e-11	7.224795675551529e-12	2.044126876498349e-11	9.915060855408406e-15	3.5151177050840965e-16	4.5402555255430257e-13	4.780121640547717e-08	6.7737669096109265e-09	6.747925492495382e-11	5.710442975406276e-12	5.308038715515251e-10	4.662579184452892e-10	2.318630733232205e-11	2.2262861335104913e-09	2.8917723983450566e-09	1.138380970606609e-12	1.3747430374577187e-07	7.680887910225323e-10	1.3432193607130764e-07	6.8133672448023246e-09	1.4703611337000331e-13
41	3.546913403767503e-10	1.5604624301084835e-10	1.7962531322533803e-12	7.067972984700955e-16	7.070867207358994e-10	8.436715300816185e-11	4.699653230808505e-13	3.1153188808241293e-12	9.069884102241724e-10	4.589395066419418e-11	5.603974606675788e-12	2.0659672102281058e-11	1.0028983985517949e-14	3.5505749389239196e-16	4.575985170439958e-13	4.617471543390068e-08	6.6441301471995154e-09	6.720960864785918e-11	5.6678174862016315e-12	5.178711846337973e-10	4.6233052954706607e-10	2.295363856959491e-11	2.150497588356509e-09	2.886173576762171e-09	1.1368662219289527e-12	1.3929820404713353e-07	7.893815217565772e-10	1.3607304353516452e-07	6.901852476709566e-09	1.1404962875955582e-13
42	3.5469134036495303e-10	1.5604277140633946e-10	1.8004876736054486e-12	7.088584696068644e-16	7.164335695273404e-10	8.572311216958886e-11	4.837940369224819e-13	3.210224354769856e-12	9.172773471833973e-10	4.6417320843638835e-11	4.3481545611130334e-12	2.0873657405359154e-11	1.0140700340662951e-14	3.586078350041238e-16	4.613445967440476e-13	4.4603297813026955e-08	6.519586765232082e-09	6.69190699277437e-11	5.623535540405712e-12	5.054131425316502e-10	4.581329623888466e-10	2.2710066015713434e-11	2.0772839374659436e-09	2.880512556169728e-09	1.1353339166885718e-12	1.410594732406399e-07	8.10434763132497e-10	1.377642454299391e-07	6.98731046391958e-09	8.849011344664805e-14
43	3.5469134066404836e-10	1.5603902181066175e-10	1.8047651319293229e-12	7.109421412030059e-16	7.254611212397025e-10	8.705380728751922e-11	4.975602143270542e-13	3.3042336594671653e-12	9.272372695994101e-10	4.69239506863382e-11	3.374229762442737e-12	2.1082043707548427e-11	1.0249669788766083e-14	3.621215136409857e-16	4.651792556737371e-13	4.3085155442146717e-08	6.39991847463134e-09	6.660937984048482e-11	5.577758697417292e-12	4.934113326944005e-10	4.5368810080865185e-10	2.245659975408618e-11	2.0065586520454176e-09	2.8747941045627467e-09	1.133785635789295e-12	1.4276029290533525e-07	8.312415066838924e-10	1.3939761615049764e-07	7.069846151719879e-09	6.867236113598872e-14
44	3.546913403668986e-10	1.5603504610736115e-10	1.8090842624709936e-12	7.13047703968927e-16	7.341801717753745e-10	8.83602203784001e-11	5.112600978788024e-13	3.3972983529792682e-12	9.36879384019928e-10	4.7414410002240865e-11	2.620108391609998e-12	2.1284039126841583e-11	1.0355527341307886e-14	3.655779330146866e-16	4.690340067720278e-13	4.1618531377990924e-08	6.284918320472551e-09	6.62821685906817e-11	5.530637990741444e-12	4.818481485003519e-10	4.490174430785003e-10	2.2194186622228908e-11	1.9382384017044214e-09	2.8690223217534116e-09	1.1322226762205609e-12	1.4440275816861127e-07	8.517955847085066e-10	1.409751481431685e-07	7.149560154580762e-09	5.332064755958158e-14
45	3.5469134013315025e-10	1.5603088716887244e-10	1.8134437123973534e-12	7.151744992972406e-16	7.42601230922604e-10	8.964330011490846e-11	5.248901917315581e-13	3.4893734460218433e-12	9.462145874249784e-10	4.7889253306056604e-11	2.0347619870098358e-12	2.1479048253450853e-11	1.045800368970861e-14	3.6895173985369533e-16	4.728614957430632e-13	4.020170725909329e-08	6.174387070004411e-09	6.593899259349267e-11	5.482317658762576e-12	4.707066166216785e-10	4.441415509332377e-10	2.192373175068334e-11	1.8722417776203567e-09	2.863200939587482e-09	1.1306461822813497e-12	1.4598890496483537e-07	8.720913887901337e-10	1.4249877761183955e-07	7.226550327555535e-09	4.140490620384292e-14
46	3.546913403386622e-10	1.5602657589448685e-10	1.8178420003664967e-12	7.173218102497091e-16	7.507343577368803e-10	9.090394344538107e-11	5.384474023010061e-13	3.5804192678710576e-12	9.552532925296556e-10	4.8349010539441614e-11	1.5818647264290813e-12	2.1666740744517882e-11	1.0556949974059699e-14	3.722290592906897e-16	4.76627605413096e-13	3.883302764752709e-08	6.068137414992556e-09	6.558129418993352e-11	5.4329311520895905e-12	4.5997063630075775e-10	4.390795331274001e-10	2.1646074438614717e-11	1.8084907227354841e-09	2.8573331847626245e-09	1.1290570918604808e-12	1.475206766817233e-07	8.921241704168277e-10	1.4397035299555109e-07	7.300910098443339e-09	3.2186217047840784e-14
47	3.546913403561923e-10	1.5602213815738065e-10	1.8222776077513884e-12	7.194889032665841e-16	7.585893446973811e-10	9.214301751911716e-11	5.519288638622262e-13	3.670399169549571e-12	9.640056279673623e-10	4.879419753658313e-11	1.2312473356106475e-12	2.1846893517367155e-11	1.0652266454224583e-14	3.754000011557069e-16	4.803057488561375e-13	3.7510876578523176e-08	5.965988872101283e-09	6.521045065913503e-11	5.382605818240784e-12	4.4962463380791736e-10	4.338496608979536e-10	2.1362016422971253e-11	1.7469091144316589e-09	2.851422054118656e-09	1.1274562525859823e-12	1.4899996253856773e-07	9.118896671707583e-10	1.4539167135708784e-07	7.372730359021716e-09	2.5051455773204895e-14
48	3.546913403668553e-10	1.560175947452591e-10	1.8267489840686847e-12	7.216750307346879e-16	7.661756872002792e-10	9.336135657501391e-11	5.653319609205674e-13	3.75927982184482e-12	9.7248140703465e-10	4.922531392776726e-11	9.589657317263275e-13	2.2019391661475355e-11	1.0743903084903051e-14	3.7845801028619775e-16	4.838751228269652e-13	3.6233682541217714e-08	5.867768668092024e-09	6.482776855942617e-11	5.3314622297500354e-12	4.3965361580895695e-10	4.2846928071872123e-10	2.1072317552090902e-11	1.687423102525895e-09	2.8454703057078583e-09	1.125844419495472e-12	1.5042859135642204e-07	9.313841488017154e-10	1.4676447257344802e-07	7.44209908190291e-09	1.951210484699353e-14
49	3.546913403710753e-10	1.5601296134235272e-10	1.831254559051894e-12	7.2387943668822e-16	7.735025257988675e-10	9.455975604227655e-11	5.786543707298058e-13	3.847031781998948e-12	9.80690068904463e-10	4.964283887025137e-11	7.473126404127314e-13	2.2184226436036503e-11	1.0831858560585246e-14	3.8139985345559836e-16	4.873209968181711e-13	3.4999927993379034e-08	5.773312949570857e-09	6.44344709822798e-11	5.279613037944157e-12	4.3004330592462526e-10	4.2295464779085267e-10	2.077768881172712e-11	1.6299617249004583e-09	2.8394804449192184e-09	1.1242222520612373e-12	1.5180832024547775e-07	9.5060450686291e-10	1.4809042883880856e-07	7.509100580703179e-09	1.5204983977076734e-14
50	3.546913403708952e-10	1.5600824993315465e-10	1.835792764400222e-12	7.261013667926193e-16	7.805786679313422e-10	9.573897555234981e-11	5.918940370441276e-13	3.933629148775615e-12	9.886407006139955e-10	5.004723485443803e-11	5.830864318334221e-13	2.2341461938860006e-11	1.0916165673066637e-14	3.8422335484850207e-16	4.906354685227934e-13	3.3808147572606e-08	5.682466047483117e-09	6.403170425764647e-11	5.22716361569488e-12	4.2078004590222147e-10	4.173210118946348e-10	2.0478795921901383e-11	1.574456368576068e-09	2.833454776518323e-09	1.1225903369329224e-12	1.5314083944311801e-07	9.695481976194227e-10	1.493711488389791e-07	7.57381616861339e-09	1.1862453423453109e-14
