time	species_1	species_10	species_11	species_12	species_13	species_14	species_15	species_2	species_3	species_4	species_5	species_6	species_7	species_8	species_9
660.0.	0.015756005547692003	0.09597887675171501	0.199001813814283	11.193386877419488	49.20785123350333	1.788838871855777e-16	-3.7137381199033776e-27	0.000604056968518	0.005698296033443	9.554876407911911e-05	0.198908032647054	4.2993823077394665e-08	49.70684081695568	7.48722851467451	0.098791346835501
675.0.	0.015258468944053001	0.096318776419354	0.19866191414664502	11.19343447800541	49.20785050401998	1.94833323326776e-16	-1.089904419998677e-25	0.000558985553644	0.00548201222373	9.24168872755641e-05	0.19857126504812503	4.28019173625058e-08	49.71103679774435	7.490252346269499	0.09576751524051001
690.0.	0.014797183873974001	0.096638184322688	0.198342506243311	11.193478581921891	49.20784979661354	2.1249778467885392e-16	-5.17012985826656e-26	0.000519063915607	0.005283008836977	8.951147458771956e-05	0.19825476272969503	4.262970196278248e-08	49.714939382115	7.493068092437922	0.092951769072089
705.0.	0.01436812279161	0.09693900582817201	0.19804168473782702	11.193519582171152	49.20784910978407	2.319856666142226e-16	1.392538228383621e-27	0.00048351710260800004	0.005099244434486	8.680763883728944e-05	0.1979566452133	4.247636252013086e-08	49.71858020072617	7.495697782975886	0.090322078534127
720.0.	0.01396784430058	0.09722290863825701	0.19775778192774202	11.19355781358434	49.20784844218845	2.53407253002672e-16	-3.87595056015139e-28	0.00045171234878300004	0.004928989141585001	8.428408159284614e-05	0.19767526609805902	4.233876310719848e-08	49.72198637388084	7.498160366070416	0.08785949543959601
735.0.	0.013593389505462001	0.097491359473223	0.19748933109277603	11.193593563321949	49.20784779261864	2.768748436321306e-16	-4.321729406495514e-28	0.000423128690892	0.004770767309923	8.192246301093553e-05	0.19740917700582403	4.22146143370782e-08	49.72518129847712	7.5004722354354545	0.085547626074556
750.0.	0.013242199658521001	0.09774565409078101	0.197235036475218	11.19362707916643	49.207847159983714	3.025027802916417e-16	-4.2970016777137324e-26	0.00039733392216400004	0.00462331238364	7.970690050812503e-05	0.19715709806332501	4.2102057748433604e-08	49.72818527458894	7.50264765217178	0.083372209338229
765.0.	0.012912050172105002	0.09798694201377	0.196993748552229	11.19365857613101	49.20784654329484	3.3040712560485856e-16	-2.3692896957202293e-26	0.00037396692347300005	0.00448553105012	7.762356653917923e-05	0.19691789357682601	4.199953648836252e-08	49.731016008646534	7.504699085123977	0.08132077638603201
780.0.	0.012600997315613	0.098216247034329	0.19676444353167002	11.193688241772271	49.207845941652536	3.607061832166611e-16	5.264865768077622e-27	0.000352723981112	0.004356474521518001	7.566036324889688e-05	0.19669055185258003	4.190651407959228e-08	49.73368902083592	7.506637487626265	0.079382373883745
795.0.	0.012307334839788001	0.098434484320742	0.196546206245257	11.193716240494702	49.20784535423594	3.935195969281537e-16	-2.013050098253418e-28	0.00033334809350800003	0.004235315347491	7.380665738026255e-05	0.19647416835751702	4.182103239793561e-08	49.736217977414235	7.508472524128259	0.077547337381749
810.0.	0.012029558432157	0.09864247476463801	0.19633821580136102	11.193742717064199	49.2078447802937	4.289692338798229e-16	-1.012946912387182e-27	0.00031562054139900003	0.004121328555704001	7.2053062746297e-05	0.19626793158677303	4.1742514597930605e-08	49.73861496369065	7.510212757028955	0.075807104481051
825.0.	0.011766336397961001	0.098840957087703	0.19613973347829602	11.19376779949614	49.20784421913603	4.671786360684934e-16	4.0805054086772754e-29	0.000299354188818	0.0040138762059620005	7.039126057088042e-05	0.196071111138225	4.167017268559744e-08	49.74089070975023	7.511865801682364	0.07415405982763901
840.0.	0.011516485333095001	0.099030598099706	0.19595009246629302	11.193791601444108	49.20784367012809	5.082730815466116e-16	2.972615508445426e-28	0.00028438811929100004	0.0039123946602550004	6.881385022454835e-05	0.195883047603351	4.160339047936163e-08	49.74305477820772	7.5134384557262806	0.07258140578372001
855.0.	0.011278949817087	0.099212001438474	0.19576868912752501	11.193814224188172	49.20784313268404	5.523795706430454e-16	4.8003562131877945e-27	0.000270583310613	0.003816384025598	6.731422446849605e-05	0.19570314395212002	4.1541609391672694e-08	49.745115721323465	7.51493680761775	0.07108305389225
870.0.	0.011052785373758001	0.09938571504650301	0.195594975519496	11.193835758298928	49.20784260626205	5.996268499139087e-16	-1.257028147546605e-28	0.000257819123966	0.0037253993503350005	6.588646464396165e-05	0.195530858161468	4.148405626133769e-08	49.74708121316301	7.5163663281717685	0.069653533338232
