time	ACA	ACA0	ADP	AMP	ATP	DHAP	DHAPCN	DPG	EtOH	EtOH0	F6P	FBP	G6P	GAP	Glc	Glc0	Glyc	Glyc0	HCN	HCN0	NAD	NADH	OAc	OAc0	PEP	Pyr	PyrCN	glycogen	lacto
6.0.48.0	0.041857069925787006	0.03543113496885	1.7424778642650032	0.5834468099453091	1.604075325789681	2.135230691232947	2.307067277461476	0.000149516849365	9.55912035619614	7.363889193868954	0.259617858420857	2.5536740662148363	2.20001713550809	0.087197941365883	0.106775788006328	17.31595045621265	2.492528456042858	0.795541867952384	4.593793258081334	4.6197683039718775	0.628207850527	0.35179214947299803	0.003565694868087	0.002795229212425	0.030359050211898	9.769396159960719	8.496903841346496	115.55364625227261	0.030332593152994
6.0.75.0	0.044608385467794005	0.035554200738194	1.6193459810195612	0.42944103668194905	1.881212982298481	1.854812819506825	2.393625606351212	0.000180501231105	9.979898842484857	7.705850680063897	0.288595179596073	1.8705840727210692	2.4048427229865412	0.07263184501981901	0.07367508360017401	17.024252897084885	2.5623838238708423	0.8262147972421041	4.580856367787896	4.606447837345337	0.7100338861376371	0.269966113862361	0.0038265995871800003	0.0029206870313910004	0.030734373949712002	9.88081088999437	8.904360758593468	121.2173360436552	0.031921771862098006
7.0.0200000000000005.0	0.042987388832741	0.035936881023979	1.751261520827538	0.5964159861529741	1.582322493019481	1.706827845449007	2.462601887128248	0.000143611768215	10.25978982230134	8.051379595069127	0.26178885503235805	1.6213859311941698	2.221764526420422	0.067809966331194	0.102151440677766	16.735489891614762	2.280730047255518	0.8533647670781	4.569396787175925	4.593572717528775	0.710170082147015	0.26982991785298305	0.00399280472662	0.003068435235984	0.029522375883487002	9.513591791758158	9.301595874891765	127.07814180429455	0.033521996980339
7.0.290000000000001.0	0.041864918185663	0.035717489816917004	1.755960101766542	0.6060275186268691	1.5680123796065821	2.074710301977771	2.541645969152699	0.000145021519732	10.57083391536504	8.385553916794956	0.256480104386319	2.414984633536741	2.17699452937081	0.084686741075608	0.10892750291269301	16.439740044545932	2.502474922722809	0.879394385760293	4.555339499253723	4.580681739703864	0.6341343005473901	0.34586569945260803	0.003978486462312	0.0031958458849530003	0.030089737703753002	9.702356932601425	9.693012884989106	131.73976175687588	0.035120016494074
7.0.5600000000000005.0	0.044080533169977	0.035724840768784	1.6434195877980602	0.45422256577102205	1.83235784643091	1.9384171998688782	2.6269672800879063	0.00017451670088300001	10.97900484424471	8.72483927799288	0.281053470330058	2.058437822280343	2.349174244864546	0.076800659846096	0.077998342068685	16.14732073714988	2.652684265419714	0.9092879778299781	4.5420831908194454	4.567533704589668	0.6870571857791831	0.29294281422081603	0.0041895917018020005	0.0033196190552170005	0.030683935653764004	9.89158839077808	10.093808878002173	137.1159361292785	0.036706275643879
7.0.83.0	0.043958435224212	0.036119397749017006	1.721406946722243	0.549530788296562	1.659062264981185	1.6615706095520322	2.696905415186022	0.00015106819006800002	11.2967624476599	9.070420509972404	0.267958492050046	1.525326990362581	2.264876487280482	0.065346773279151	0.09111266133240101	15.859864431408397	2.395344964430835	0.9372292371394321	4.530831012904685	4.554713054239716	0.7281260515850441	0.25187394841495403	0.0044246497083790005	0.003464814859484	0.029628125614105	9.554484524888101	10.488871432884261	143.08264368219585	0.038299196673242004
8.0.100000000000001.0	0.041977983039020006	0.035970327104713005	1.762928402437304	0.618321164410637	1.54875043315205	2.010391614427436	2.771096952856607	0.00014227622214000002	11.584206372425978	9.405548603145434	0.25461359917368304	2.268891060177224	2.162776964429256	0.081909108295834	0.10870596286438901	15.565783176020506	2.526283579898013	0.9628274343654091	4.517296730364205	4.542019017801923	0.642700635954995	0.33729936404500405	0.0043970438655890004	0.0035974289051180003	0.029856618039378002	9.638473963612594	10.874951734788553	147.8578899965038	0.039894174624674004
8.0.370000000000001.0	0.043687090032002	0.035895476658799004	1.666583675051926	0.479983424265203	1.783432900682862	1.98513442466136	2.854242419355014	0.00016834728426600001	11.978015194816727	9.742642022610317	0.274372000545486	2.171830520707099	2.300116034983802	0.07930763589333001	0.08188687803125401	15.273264237126089	2.722938570714351	0.991913872781861	4.503919020882542	4.529064735307561	0.6717851017415281	0.30821489825847104	0.0045677125951410005	0.0037208044999840002	0.030548111928382003	9.863474818802654	11.268595845786038	153.01999814599688	0.041476737167515
8.0.64.0	0.044688083279397	0.036256677868768	1.694344501203409	0.512681130145869	1.722974368650715	1.6520451734539212	2.925180845837418	0.000157806074614	12.324767842210912	10.087235939622005	0.27292700998686203	1.499124436216485	2.297930996511636	0.06457835141299201	0.082959532523626	14.986551348277725	2.517036233643552	1.020371696144725	4.492665384122491	4.516324714903131	0.736102853855864	0.24389714614413402	0.004837303519913	0.003862790625464	0.029737214160475003	9.589777928869665	11.660117662663426	158.97423824702335	0.04306191035611601
8.0.91.0	0.042172998373265005	0.036195896180971	1.7651566918641421	0.622215147226534	1.542628160909317	1.9466558238223421	2.995363967411153	0.00014083283352	12.597765630101533	10.423346088997816	0.25362142150799	2.126881901003909	2.154578057700309	0.07909148717068301	0.106636713786669	14.694435530849237	2.562715603347198	1.045818276715509	4.479686509692599	4.503811176378555	0.652824121845288	0.32717587815471105	0.004819646896058001	0.003999903944634	0.029654865461250002	9.578047233939055	12.041039204480949	163.89426262738036	0.044652059740533004
9.0.18.0	0.043394807192586	0.036063143532277006	1.686374308814616	0.5037756183738791	1.7398500728114992	2.006679865426768	3.075824226013038	0.000162802242672	12.976776458122803	10.758604366713575	0.26874727230689	2.229611969800888	2.258535357538383	0.080641329127036	0.08490050814899801	14.402287790726744	2.782130370395787	1.074134491358346	4.466317510853711	4.4910603993195295	0.661876731884622	0.318123268115377	0.00495606740501	0.004123712276845	0.030370220972988003	9.81227582254939	12.427353577792742	168.89843603320293	0.046230261201077004
9.0.450000000000001.0	0.045107445336042	0.036367391906056	1.6738486926154241	0.48754478161187303	1.7686065257726962	1.667012725354493	3.147416163631462	0.00016290023791000003	13.343072901745916	11.10160343058116	0.275887551946534	1.521031024880637	2.31559572643826	0.06503278076535901	0.077460747649592	14.116065952548706	2.6365471255781543	1.102866015594019	4.454966570253514	4.4784269629135185	0.7360125118304791	0.243987488169519	0.005235703022011	0.004262565904760001	0.029819621263787004	9.613074634522782	12.814231222889198	174.76929301680724	0.047807563757640004
9.0.72.0	0.042431823707662006	0.036396588928265	1.763841268811818	0.619566378489665	1.546592352698514	1.886004523988741	3.214372058064415	0.000140363658861	13.610241992428668	11.438486561012756	0.25324171091666603	1.9948561937406801	2.150528893926132	0.07636759847874501	0.10320985278248601	13.826078658194458	2.609932342279561	1.128337995143864	4.442529957706536	4.466081254129769	0.6637261334622611	0.31627386653773804	0.005244890036199001	0.00440320916236	0.029478543459329	9.519787976047565	13.190033108125215	179.83818200507352	0.04939149709677
