time	CIS	CISRNA	CISnRNA1	CISnRNA2	CISnRNA3	CISnRNA4	CISnRNA5	Epo	EpoRJAK2	EpoRJAK2_CIS	EpoRpJAK2	SHP1	SHP1Act	SOCS3	SOCS3RNA	SOCS3nRNA1	SOCS3nRNA2	SOCS3nRNA3	SOCS3nRNA4	SOCS3nRNA5	STAT5	npSTAT5	p12EpoRpJAK2	p1EpoRpJAK2	p2EpoRpJAK2	pSTAT5
129.0.	25.07665834815514	0.06710528979744601	464.7458056586471	503.490866407193	550.7007564996258	607.3979070510491	674.1930181866853	1.24997e-07	3.7613639545357263	1.3248095692239363e-31	0.12127582360259301	26.562695291301015	0.16240470869904702	9.97373279500613	0.05743483267875601	0.0004935559226220001	0.000497655188724	0.0005018709546770001	0.000506205913991	0.0005106628113570001	67.85919673567032	5.003251964082111	0.019926786359274	0.014818717136362002	0.058834718366041004	8.454567539019935
132.0.	25.160190768684025	0.06431161321489201	451.66903029397974	487.3382885216157	530.979137755838	583.6536230806873	646.1257485282867	1.24997e-07	3.761358934790075	1.5522617958217642e-31	0.12127983145597501	26.562370933438615	0.16272906656143302	9.91790896237344	0.057113364236123	0.000481380652951	0.00048512922028300006	0.000488986100392	0.0004929538271900001	0.000497034984242	68.07958531062303	4.882326627314184	0.019925680183459003	0.014819294030867002	0.058836259539621	8.317315133095267
135.0.	25.212556701789413	0.061701807987535	439.6838162819175	472.47774019523	512.7614463899592	561.6132426095821	619.9058022202145	1.24997e-07	3.761313912278886	4.359224448385208e-32	0.12129570406815601	26.562053968722903	0.16304603127713002	9.85854860470532	0.056771530424716006	0.00047026052641	0.00047368325280000003	0.000477206600179	0.00048083294851400003	0.00048456472561200006	68.27930630424255	4.771935473667734	0.019933722931704003	0.014823187173412002	0.05885347354783901	8.19348805760775
138.0.	25.236476603591452	0.05926920111100101	428.7145499194614	458.8241865947604	495.9568516302064	541.1890861434994	595.4661330134397	1.24997e-07	3.761233969577072	1.289908977553612e-32	0.12132191783865101	26.561743476602587	0.163356523397434	9.796159128183977	0.056412253190730004	0.00046012014121500004	0.000463240353676	0.000466453970759	0.000469763224805	0.00047317039398900003	68.45990325417813	4.671323356821496	0.019949765441028	0.014829974467111002	0.058884372676135006	8.082061938004035
141.0.	25.234527113744495	0.057006380498623006	418.6899977542766	446.2967426024279	480.4773454221337	522.2928802975641	572.7322701339187	1.24997e-07	3.761123704452775	-3.4594450762645754e-32	0.12135709006027501	26.561438654680305	0.16366134531970902	9.731205648671136	0.056038210947444	0.000450888810912	0.00045372837304200004	0.00045665457753800003	0.00045966951584600004	0.00046277532312000006	68.62281593219362	4.5797826186011115	0.019972772412177	0.014839273726761	0.05892715934801	7.982083517515116
144.0.	25.209138159605818	0.05490545998673901	409.54317484456396	434.81873000973616	466.23822312359283	504.8370576148267	551.6249805771205	1.24997e-07	3.760987276659423	-5.831782529893514e-32	0.12139996697258501	26.56113880670799	0.163961193292016	9.664113867708567	0.055651855136953005	0.000442500341266	0.000445079723469	0.00044773941781100005	0.000450481381781	0.00045330761439700003	68.76938677846826	4.496650786057192	0.020001809897435	0.014850738942659002	0.058980207527896004	7.892665806114403
147.0.	25.162592685931127	0.052958290336401	401.2111885541287	424.3176632527551	453.15840090944795	488.73573580525004	532.0623888639988	1.24997e-07	3.7608284493010222	-9.746589611729092e-32	0.12144941287857801	26.56084333174637	0.164256668253627	9.595272796999012	0.055255425919366004	0.00043489280263100006	0.00043723115347600003	0.00043964389590400005	0.00044213286044900006	0.00044469991698100004	68.90086702025822	4.421308238362692	0.020036034534896	0.014864056955552	0.059042046329950006	7.8129835658644495
150.0.	25.097028412850722	0.051156625221801005	393.63506626699467	414.7251818903824	441.16060580024407	473.9054388253582	513.9616445794105	1.24997e-07	3.760650625536252	-1.4550380036141683e-31	0.12150440021812801	26.560551714360493	0.16454828563949803	9.525037331690493	0.054850966991320006	0.00042800830214000004	0.000430123519563	0.000432307595443	0.00043456224030000005	0.00043688920182800004	69.01842247017099	4.353175883686247	0.020074684241777	0.014878944487970001	0.059111345515869	7.742269109791785
153.0.	25.014441130115536	0.049492250011573	386.75957350141147	405.976944196065	430.1714672409102	460.2656115209041	497.2402161170223	1.24997e-07	3.760456881265783	-1.4317430615711141e-31	0.12156400050322001	26.560263515740235	0.164836484259747	9.45373067481702	0.054440339547359	0.00042179275891400005	0.000423701560329	0.00042567405264300006	0.000427711833178	0.00042981653430700003	69.12313900511683	4.291712875822753	0.020117070130387	0.014895145485362	0.059186902615246006	7.679808392752156
156.0.	24.916689125821282	0.04795708003651301	380.5330273904706	398.0124931577111	420.1215334269524	447.73897040825636	481.81687787692744	1.24997e-07	3.7602499943464993	-1.091772791493712e-31	0.12162737603046601	26.559978365649247	0.16512163435073002	9.381646616729252	0.054025235406265006	0.000416195684666	0.00041791367527100004	0.00041969053352400006	0.00042152775016500004	0.00042342684892900004	69.2160277313236	4.236414392202428	0.020162569451792	0.014912428727293002	0.059267631443947005	7.624937374034402
159.0.	24.805498424323968	0.04654323402286	374.9071092977724	390.775103716767	410.9452309009327	436.25172543236897	467.6124479705332	1.24997e-07	3.760032470792598	-8.946427020364013e-32	0.12169377229563301	26.559695955117977	0.165404044881998	9.309051674398178	0.053607189330443006	0.00041116997135600005	0.00041271171015200004	0.000414307817132	0.000415959682832	0.00041766872880000006	69.29802984395361	4.186809488507318	0.020210619405986	0.014930585674797001	0.05935255183098401	7.5770386326948085
162.0.	24.682468572326542	0.045243087465807005	369.8366793889436	384.2116181084001	402.5807821427974	425.73370105068767	454.55032440080515	1.24997e-07	3.7598065683534143	-5.749287720661096e-32	0.121762511043181	26.55941602980696	0.16568397019300402	9.236187096188171	0.05318759057060601	0.00040667168706000004	0.000408050750254	0.00040947998626500004	0.00041096069153900004	0.00041249419163500004	69.37002119208915	4.142459040140578	0.020260711684985	0.014949428524849002	0.059440780393569	7.535538217811382
