	ATIII	II	IIa	IIa_ATIII	IX	IXa	IXa_ATIII	IXa_VIIIa	IXa_VIIIa_X	TF	TFPI	TF_VII	TF_VIIa	TF_VIIa_ATIII	TF_VIIa_IX	TF_VIIa_X	TF_VIIa_Xa	TF_VIIa_Xa_TFPI	V	VII	VIII	VIIIa	VIIIa1_L	VIIIa2	VIIa	Va	X	Xa	Xa_ATIII	Xa_TFPI	Xa_Va	Xa_Va_II	mIIa	mIIa_ATIII
46	3.386912673340385e-06	1.3811909975052156e-06	9.558407556958974e-12	2.325083316031081e-11	8.999780570888705e-08	1.6114384245007185e-12	5.698573233054863e-13	3.2653633411427455e-15	6.360592790355203e-15	3.2321996373502876e-13	2.4960048719829737e-09	3.8759250102948794e-12	1.5730189403488397e-14	4.441540274499006e-15	3.369409000108264e-15	8.921619367985921e-15	2.7078267056348175e-15	7.656844412183731e-13	1.9617847513860725e-08	9.800751169125783e-09	6.866246629851246e-10	8.114797933345325e-12	5.250913125398244e-12	5.250913125398244e-12	2.9457205083794247e-10	3.755146278002181e-10	1.5997632910581152e-07	5.29205856699071e-12	7.727859226572798e-12	3.2294435758072742e-12	3.628010373204568e-12	3.0098479658652334e-12	5.7174097377361135e-09	1.3055773668365583e-08
47	3.3858805032737993e-06	1.379753553641261e-06	1.0632383667050221e-11	2.5040168793478578e-11	8.999776275676411e-08	1.6345725756348705e-12	5.888409333777162e-13	3.5360433408925255e-15	6.887688525605082e-15	3.213775856361228e-13	2.4959152622445097e-09	3.8626261991035486e-12	1.5900845864439393e-14	4.528221718664683e-15	3.405994995347746e-15	9.018418355868286e-15	2.7372517170077024e-15	7.804054826089992e-13	1.9588676532512535e-08	9.796028631718914e-09	6.856036786379379e-10	8.766714351225689e-12	5.619183278969559e-12	5.619183278969559e-12	2.9929274586671233e-10	4.041906122430933e-10	1.599755543550245e-07	5.293358450733477e-12	7.916050166355417e-12	3.3043322728804006e-12	3.900374310586655e-12	3.232480933798833e-12	6.121594187258321e-09	1.4085947138086836e-08
48	3.384774722590246e-06	1.3782082016465807e-06	1.187613903747054e-11	2.703818343615417e-11	8.999771935229847e-08	1.6578142105912312e-12	6.08088211323154e-13	3.834499903377238e-15	7.468834059564644e-15	3.1953543706165406e-13	2.495825790731836e-09	3.849181815303006e-12	1.6068526592641037e-14	4.615788781727921e-15	3.4419456347811832e-15	9.113529895593466e-15	2.766166509410429e-15	7.952767902211835e-13	1.9556145265317324e-08	9.791312065969791e-09	6.844650842861055e-10	9.505139633840759e-12	6.018472746090426e-12	6.018472746090426e-12	3.040074694672591e-10	4.3618165042300894e-10	1.5997474219943678e-07	5.28719772042472e-12	8.10396078453649e-12	3.3789324779421435e-12	4.1978835996513954e-12	3.475200660029381e-12	6.5598862687519155e-09	1.5189522561534175e-08
49	3.3835890419933554e-06	1.3765450811326882e-06	1.332025717711847e-11	2.9278391684583305e-11	8.999767550443489e-08	1.6811418274006713e-12	6.275995220813966e-13	4.164896390630556e-15	8.112127360127709e-15	3.1769371932104837e-13	2.495736590885152e-09	3.8355955917852276e-12	1.6232909219139142e-14	4.70422082778166e-15	3.477191853611029e-15	9.206770893732934e-15	2.794515549151472e-15	8.102950805503064e-13	1.951972356398728e-08	9.786608575934262e-09	6.831903247395539e-10	1.0344381856372153e-11	6.45301638032285e-12	6.45301638032285e-12	3.087091177850492e-10	4.720130822833021e-10	1.5997388914241448e-07	5.272691044351968e-12	8.291290283140131e-12	3.4531140342969615e-12	4.523253522724214e-12	3.740100206710103e-12	7.0358240973085465e-09	1.637275602093527e-08
50	3.3823165232603547e-06	1.374753303156448e-06	1.5001382919914716e-11	3.180041314257069e-11	8.9997631222985e-08	1.7045312260424791e-12	6.473748894799296e-13	4.5321338077823825e-15	8.827100803684853e-15	3.158528781785157e-13	2.4956478091179994e-09	3.8218713235000345e-12	1.6393672617718534e-14	4.79349524638268e-15	3.511664833416663e-15	9.297958897956822e-15	2.82224349093261e-15	8.254567632350407e-13	1.9478787713343047e-08	9.781925931983085e-09	6.817575699670058e-10	1.1301313060406607e-11	6.927757737975832e-12	6.927757737975832e-12	3.1338992089508226e-10	5.123032881524319e-10	1.5997299114639317e-07	5.249008555455931e-12	8.477708361684495e-12	3.5267341187647814e-12	4.879505332213101e-12	4.0294931723242495e-12	7.553319104560137e-09	1.7642546449757543e-08
51	3.3809495115822003e-06	1.372820841583835e-06	1.6963490532671396e-11	3.465118696491497e-11	8.999758651861129e-08	1.7279551519090542e-12	6.674139546789955e-13	4.941991136176259e-15	9.6249940056184e-15	3.1401355051678636e-13	2.4955596033979305e-09	3.8080129064735115e-12	1.655050139473912e-14	4.883587463236317e-15	3.5452969520609902e-15	9.386914618654607e-15	2.8492959407775024e-15	8.407579466402313e-13	1.9432602865615402e-08	9.777272479337624e-09	6.801411002965383e-10	1.2395855518411456e-11	7.448477199908205e-12	7.448477199908205e-12	3.1804153421288205e-10	5.577811934200137e-10	1.5997204353447434e-07	5.215408352787277e-12	8.662858401677761e-12	3.59963865542863e-12	5.2700034769999114e-12	4.345937487599929e-12	8.116695726287983e-09	1.900650207489221e-08
52	3.3794795607096315e-06	1.3707344117460133e-06	1.9259429925616246e-11	3.788644068766867e-11	8.999754140279476e-08	1.751382879642798e-12	6.877159291974542e-13	5.401293182063944e-15	1.0519080138785846e-14	3.1217651528766803e-13	2.495472141244522e-09	3.794024363953849e-12	1.670309184944981e-14	4.974470981278522e-15	3.578023050099811e-15	9.473465285654936e-15	2.8756204724957945e-15	8.561944491195016e-13	1.938030219866686e-08	9.772657011604397e-09	6.783105769533393e-10	1.365155835994708e-11	8.02194431339253e-12	8.02194431339253e-12	3.226551649108798e-10	6.093070368720283e-10	1.5997104087309558e-07	5.17127355001489e-12	8.846361971945068e-12	3.6716643063580484e-12	5.698500473761991e-12	4.692263987366335e-12	8.730736322076092e-09	2.0473013797310103e-08
53	3.3778973497835685e-06	1.3684793333301828e-06	2.1952818584280668e-11	4.157246962626377e-11	8.99974958877833e-08	1.7747797262396389e-12	7.082795416572761e-13	5.918111089352673e-15	1.1525055747027797e-14	3.103426473632758e-13	2.495385597098713e-09	3.779909860522059e-12	1.6851159104866494e-14	5.066117458240353e-15	3.609781950174086e-15	9.55744867080317e-15	2.9011678465069635e-15	8.717618170840716e-13	1.9320862231154018e-08	9.768088606273115e-09	6.762301780903899e-10	1.5096279947123e-11	8.65609879565052e-12	8.65609879565052e-12	3.272217363742381e-10	6.678969645607391e-10	1.5996997683209252e-07	5.1161522916486725e-12	9.027824757051475e-12	3.7426410842021655e-12	6.169192429372364e-12	5.071611855886199e-12	9.400733193360303e-09	2.2051336576390778e-08
54	3.3761925902967935e-06	1.3660393732054105e-06	2.512036743526407e-11	4.5788297338261647e-11	8.999744998651853e-08	1.79810647895951e-12	7.291029772157419e-13	6.502001483933833e-15	1.2661505652072912e-14	3.0851287361024247e-13	2.4953001490569913e-09	3.765673704923849e-12	1.699444499332012e-14	5.158496824440089e-15	3.6405181411081955e-15	9.638717541465878e-15	2.925893359928831e-15	8.874553506056429e-13	1.9253073641929025e-08	9.763576421220681e-09	6.738575774675151e-10	1.6762993643670178e-11	9.3602653816785e-12	9.3602653816785e-12	3.3173209165291977e-10	7.347520951128312e-10	1.5996884401781258e-07	5.04979824829892e-12	9.206843921434505e-12	3.812395592402535e-12	6.68678921896485e-12	5.487473739195623e-12	1.0132550355602632e-08	2.375168030047423e-08
55	3.3743539210473067e-06	1.3633965623217785e-06	2.885475734740884e-11	5.0628306435342353e-11	8.999740371254085e-08	1.821318719765729e-12	7.501838084408321e-13	7.164291115622728e-15	1.3950456297417742e-14	3.066881311381959e-13	2.4952159750172843e-09	3.751320342448767e-12	1.713272617901823e-14	5.251577441637794e-15	3.670183516535167e-15	9.71714425210081e-15	2.94975823923133e-15	9.032701367845107e-13	1.917550684370796e-08	9.759129454063529e-09	6.711427395297776e-10	1.869073717561268e-11	1.0145408547196335e-11	1.0145408547196335e-11	3.361772340675997e-10	8.112927978404971e-10	1.599676337741852e-07	4.972208220839344e-12	9.383016800965563e-12	3.8807548459309604e-12	7.256604414340526e-12	5.943754037221881e-12	1.0932698666329214e-08	2.558531219407235e-08
56	3.3723687881861753e-06	1.360530978974289e-06	3.326822239883582e-11	5.620545414232196e-11	8.999735707987333e-08	1.8443660238979465e-12	7.715189161228516e-13	7.918414831282985e-15	1.5418032751337054e-14	3.0486932815842176e-13	2.495133248346943e-09	3.736854337852433e-12	1.7265821947773088e-14	5.345326300573704e-15	3.698739046334659e-15	9.792625150813708e-15	2.9727309775083816e-15	9.192010905661378e-13	1.908647145204846e-08	9.754756269500291e-09	6.680265008216952e-10	2.0925728625570507e-11	1.1024434105151419e-11	1.1024434105151419e-11	3.405485998278577e-10	8.991990322823219e-10	1.5996633594579158e-07	4.883652827561605e-12	9.555950669749308e-12	3.94755056249087e-12	7.884671139378025e-12	6.444844529859481e-12	1.1808428959868476e-08	2.7564673544771424e-08
57	3.370223306534432e-06	1.357420488681446e-06	3.849705034973223e-11	6.26552208163997e-11	8.999731010288717e-08	1.867191006068602e-12	7.931043982038903e-13	8.780315725195839e-15	1.7095236555981328e-14	3.030573081475762e-13	2.49505213324958e-09	3.7222803500138245e-12	1.7393601128320965e-14	5.439709251762898e-15	3.726156265892991e-15	9.865084496224906e-15	2.99478852386987e-15	9.352430021725243e-13	1.8983968673212194e-08	9.750464703154244e-09	6.64438903562426e-10	2.35226751169841e-11	1.2012545768308517e-11	1.2012545768308517e-11	3.448383541538954e-10	1.0004577138795644e-09	1.5996493859600126e-07	4.784696050978075e-12	9.725273179556406e-12	4.0126237482475485e-12	8.577890978658537e-12	6.995721929600745e-12	1.2767848897992349e-08	2.970351442746583e-08
58	3.3679020972668686e-06	1.3540404288373776e-06	4.470728495333153e-11	7.014048531814339e-11	8.999726279615186e-08	1.8897281841086233e-12	8.149354646517308e-13	9.768917319093973e-15	1.9018863561018227e-14	3.0125281797240177e-13	2.4949727800662358e-09	3.707603099653471e-12	1.751598775700824e-14	5.5346912618445254e-15	3.752418498952135e-15	9.934477662197882e-15	3.015917257231163e-15	9.513905899368896e-13	1.886563551940773e-08	9.746261553240308e-09	6.602972431792698e-10	2.654630305730093e-11	1.3127665982548894e-11	1.3127665982548894e-11	3.490396995776552e-10	1.1174181847616137e-09	1.5996342767215087e-07	4.676199890021033e-12	9.890642936238609e-12	4.075829343827321e-12	9.344223765337205e-12	7.60207206533417e-12	1.382007018556277e-08	3.201705113472268e-08
59	3.3653880958823006e-06	1.350363224339647e-06	5.210201512663258e-11	7.88575828045629e-11	8.999721517427407e-08	1.9119026272776776e-12	8.370063157194783e-13	1.0906678521751204e-14	2.1232582618667706e-14	2.9945648026333636e-13	2.4948953207851826e-09	3.692827331421924e-12	1.7632965361374286e-14	5.630236686909654e-15	3.77752178548482e-15	1.0000793556182228e-14	3.0361137215637768e-15	9.67638557203221e-13	1.8728679672934922e-08	9.742152272927597e-09	6.555037885527216e-10	3.0073140565002405e-11	1.4390931621135345e-11	1.4390931621135345e-11	3.5314718355265586e-10	1.2528569555071717e-09	1.5996178660854423e-07	4.5593116038827244e-12	1.0051759589281737e-11	4.1370406576141255e-12	1.0192926457457617e-11	8.270445100462647e-12	1.4975393478566762e-08	3.452215213875463e-08
