	Inh	Inh_T1	T1	T1_alpha	T2	T2_beta	T3	T3_Inh	alpha	alpha_T1	alpha_T1_alpha	alpha_T2	alpha_T2_beta	alpha_alpha_T1	alpha_beta_T2	beta	beta_Inh_T3	beta_T3	beta_T3_Inh
21	9.342443097741757	37.263765303319694	1.0687832003762996	0.03651294254557525	2.948956818359113	0.5813054652356515	0.17484611973197767	30.490270982093232	1.8892149647118752	0.006836427886151133	0.019080979355074967	0.013184563414607085	0.05945514335445345	0.10502114651764266	0.2870980096361715	2.7096497990165656	4.994925235119948	0.0007504358772920875	2.839207227177382
22	8.001208506920714	37.3465229988626	1.067713028758751	0.0191547657209672	3.257399843870331	0.42526878875821705	0.19989084359688758	31.64459014396387	1.0042651371686278	0.0035520623450897653	0.00966373677062157	0.0077141056418167315	0.033890469193215214	0.053393407542365906	0.16572679253642056	2.0556822297904715	4.249245718902287	0.0006462389726588717	2.405627054564125
23	6.587762226859878	37.31019483983467	1.1431427063742186	0.01066744232713545	3.4778529879539835	0.2972957394061818	0.23840565578071288	32.81867149088761	0.5338801668107149	0.001966345395198185	0.005202784049706011	0.004357559370112	0.018618342239292453	0.028825882019368258	0.09187537103042975	1.5270724987752928	3.4787968545963768	0.0005562012824758567	1.9635697974526358
24	5.276931358106834	37.19130392934066	1.2814168539262432	0.00636661257061247	3.62224234788324	0.20453822898556623	0.2898038189744097	33.87688678069444	0.2911957739178321	0.0011692621250364217	0.0030134044587046575	0.002459992641461551	0.010183272870084657	0.016729937579130598	0.05057615761964752	1.1275775111629527	2.771667266790935	0.0004790724035042075	1.561163061136482
25	4.15300618697992	37.009291073948184	1.473556364589306	0.004075644590364716	3.712911639227996	0.14152508641837003	0.3541370438445393	34.75706155012914	0.166056186097244	0.0007470771297810341	0.0018793288384453708	0.0014271273077312338	0.005698585410850063	0.010450510904318032	0.02843756163505176	0.8341036230387111	2.1686183823977427	0.00041363417322135226	1.2197693894551829
26	3.2355098562986035	36.7744991608883	1.7139101922630238	0.002798108085922099	3.7695036573485177	0.09960122340623216	0.4315338643229498	35.44803240308197	0.10038542089342284	0.0005126909583846556	0.0012605568359705893	0.0008685325839051122	0.003332713169616327	0.007019290968780424	0.016693873491729964	0.6199965192506333	1.677450018014727	0.0003580746423169918	0.9426256399378683
27	2.5090827447957533	36.49311802893229	1.9984614502806082	0.0020624144203106017	3.8054389631926657	0.07153066549130717	0.5219884556679945	35.96534976416975	0.06499024624280758	0.0003782333051489663	0.0009094217318348382	0.0005626427590714967	0.002069295911201869	0.0050704513302434065	0.010398432645755585	0.4633803787134049	1.2886528122801113	0.0003105197567706004	0.7236984481251599
28	1.9447331942693846	36.169737002810834	2.3236761465342717	0.0016352067625255763	3.8288937238136573	0.05238286265199607	0.625268998766514	36.33457340262309	0.0453884433196754	0.0003004847380017104	0.0007066132247765026	0.0003918521882221511	0.001379516075467338	0.003944545929906816	0.006952045270658884	0.34818865000217164	0.9862466181472573	0.00026941618869506063	0.5536415642742454
29	1.5114475065528454	35.8085481391647	2.6858941011920843	0.0013974099833224006	3.8446288631016166	0.03905327022326863	0.740881198057716	36.58238122557293	0.03436216687227239	0.00025751907698522305	0.0005923131161488852	0.00029529753675220776	0.0009950044075527362	0.003310517467070844	0.0050275647308116655	0.26302132274734713	0.7535839661063444	0.00023363734160442614	0.4229199729212413
30	1.1812868515799844	35.41385294095309	3.081081717778664	0.001289049387130112	3.8554024420189954	0.02962399292846973	0.8680675454624179	36.73277929831821	0.028281405262615446	0.00023837593034379759	0.0005363795341576686	0.00024170978544881593	0.0007801448411169312	0.0030015364169218334	0.003951710425970046	0.19982141706310935	0.5758346741671232	0.00020243858732166362	0.32311604346475686
