	E	E_M	E_P2	E_P_1	E_P_2	M	P	P2	T
59	0.00014640928319970334	1.1731183177237364e-06	5.720636077347678e-07	1.6473191792568065e-06	1.9821569558120993e-07	0.011110547674343434	0.014191824109546978	0.03541478551857636	0.9392792519807305
60	0.00014666584712055066	1.074444908610875e-06	5.704148549730836e-07	1.5078581749215893e-06	1.8143494094371372e-07	0.010158216530322204	0.012967625311277042	0.0352509165698048	0.9416199074357144
61	0.00014690184322372292	9.837214406792877e-07	5.686121152971328e-07	1.3797973133722856e-06	1.6602590692837771e-07	0.009285536115945544	0.011847231742476922	0.03508303370741283	0.943781100277387
62	0.0001471188122066882	9.003641017480327e-07	5.666692879448245e-07	1.2622700716666032e-06	1.5188433195220047e-07	0.008486175260053188	0.010822131356086818	0.03491157670238717	0.9457772354936783
63	0.0001473181992539672	8.238235417444958e-07	5.645993258539323e-07	1.1544652670714826e-06	1.3891261136292838e-07	0.007754250415050141	0.009884463369308672	0.03473695084355024	0.9476216535713434
64	0.00014750135813044332	7.53582769449809e-07	5.624142700639939e-07	1.0556252479753753e-06	1.2701958206782164e-07	0.007084303597105646	0.009026975992206462	0.03455952919790832	0.9493266925709078
65	0.0001476695481176025	6.891622122958058e-07	5.601252957176894e-07	9.650440976068147e-07	1.1612027677759237e-07	0.006471279596654807	0.008242985614259964	0.03437965479093632	0.9509037495462642
66	0.00014782396039257224	6.300971029220539e-07	5.57742730936413e-07	8.820641307461576e-07	1.0613564282361049e-07	0.005910502956576256	0.007526337700233585	0.03419764269383053	0.9523633406097497
67	0.00014796568030218545	5.759752735752027e-07	5.552761443670621e-07	8.060760004364317e-07	9.699227943619344e-08	0.005397655029709098	0.006871369466944885	0.03401378201385521	0.9537151591697904
68	0.00014809572753731603	5.26402188515551e-07	5.527343513797149e-07	7.365138021094205e-07	8.862212067975902e-08	0.004928751434062353	0.006272874465413089	0.03382833778178061	0.9549681320462792
69	0.00014821504798113403	4.810106101438829e-07	5.501254725898037e-07	6.728537887042732e-07	8.096214742877963e-08	0.004500120065469009	0.005726069042005736	0.03364155273758059	0.9561304732029238
70	0.00014832451468164423	4.3946255840157944e-07	5.474569807931557e-07	6.146116895621832e-07	7.395408959972856e-08	0.004108379870977793	0.005226560739178382	0.033453649011645444	0.9572097348928776
71	0.0001484249356844572	4.01444194889316e-07	5.447357403625817e-07	5.613402491220914e-07	6.75441311697545e-08	0.0037504204817502026	0.004770318596804325	0.033264829703709406	0.9582128561534186
