	ATIII	II	IIa	IIa_ATIII	IX	IXa	IXa_ATIII	IXa_VIIIa	IXa_VIIIa_X	TF	TFPI	TF_VII	TF_VIIa	TF_VIIa_ATIII	TF_VIIa_IX	TF_VIIa_X	TF_VIIa_Xa	TF_VIIa_Xa_TFPI	V	VII	VIII	VIIIa	VIIIa1_L	VIIIa2	VIIa	Va	X	Xa	Xa_ATIII	Xa_TFPI	Xa_Va	Xa_Va_II	mIIa	mIIa_ATIII
36	1.970475006495975e-06	-2.8465830063681903e-22	3.6885918619094654e-09	9.468113547958335e-07	9e-08	1.0200723921461878e-10	6.101447931340691e-11	2.7999273136971614e-11	1.897900833500257e-11	0.0	2.0213415912019966e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-4.184621128125957e-66	-2.1112997079220522e-30	-1.969391413476782e-62	5.902027979360356e-11	5.940014387344232e-10	5.940014387344232e-10	1.0100000000000004e-08	1.9766389567140805e-10	5.5566785102977526e-08	5.0073542313653324e-08	3.2152570886617575e-08	2.479786584087978e-09	1.9802336104328564e-08	-7.741129396354359e-23	9.750258127756832e-23	4.5050005334225705e-07
37	1.9681281663202273e-06	9.434438382608305e-21	3.118960120263866e-09	9.473809865374786e-07	9e-08	1.023381853229193e-10	6.219759694089728e-11	2.7459905466995434e-11	1.8004312269187836e-11	0.0	2.0040481452381952e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.8121064823914208e-66	-1.1207175863998813e-29	-8.528287928139924e-63	5.5936558294200084e-11	5.985992239696176e-10	5.985992239696176e-10	1.0100000000000004e-08	1.9699405221968143e-10	5.374812120010854e-08	5.011631281820198e-08	3.392859620309236e-08	2.479959518547616e-09	1.980300594779562e-08	-1.5408777586142487e-20	6.076212620325677e-21	4.505000533422571e-07
38	1.965871986372145e-06	-2.0742714726785653e-20	2.6378210433041953e-09	9.478621256144388e-07	9e-08	1.0265000262725873e-10	6.338305292529774e-11	2.6897338330472064e-11	1.706960611697127e-11	0.0	1.99410909101077e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.236411319007787e-65	2.7383097484385873e-29	5.818881748581746e-62	5.3069637832720636e-11	6.029634177198368e-10	6.029634177198368e-10	1.0100000000000004e-08	1.9921201505577724e-10	5.202337485614488e-08	5.007025702547424e-08	3.5702451618229786e-08	2.48005890908989e-09	1.9800787984910685e-08	3.343125063317702e-20	-1.2972810739991117e-20	4.5050005334225705e-07
39	1.9636956291160033e-06	-2.6479679676279583e-21	2.231319380407634e-09	9.482686272773354e-07	9e-08	1.029396080395658e-10	6.457065098165556e-11	2.6314603285596574e-11	1.6175137693181922e-11	0.0	1.9897716793127448e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0938808417131167e-65	5.391686457458463e-29	9.854371543053961e-62	5.040101802424161e-11	6.071092409969807e-10	6.071092409969807e-10	1.0100000000000004e-08	1.9909012633570382e-10	5.0388598147933463e-08	4.9937094944083067e-08	3.7471119613419116e-08	2.4801022832068704e-09	1.980090987365776e-08	6.4285241167622484e-21	-3.799801993009047e-21	4.5050005334225674e-07
40	1.961590245935523e-06	-1.5636067234008965e-19	1.8877455457858585e-09	9.486122011119588e-07	9e-08	1.0320435418938239e-10	6.576015785524738e-11	2.5714777646173822e-11	1.5320710309196253e-11	0.0	1.990307346012874e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2001603341887555e-65	-4.2834651205557326e-29	5.64828187196702e-62	4.7913804699901716e-11	6.110507073447291e-10	6.110507073447291e-10	1.0100000000000004e-08	2.0386687840035052e-10	4.883983563652048e-08	4.9730874152628935e-08	3.923173945240187e-08	2.480096926539869e-09	1.979613312134622e-08	2.533236347209043e-19	-9.868854729424296e-20	4.505000533422569e-07
41	1.95954859538868e-06	-9.104640197823718e-22	1.5973482564769259e-09	9.489025984012662e-07	9e-08	1.034420386324176e-10	6.695130656757286e-11	2.510082147347193e-11	1.4505833326537433e-11	0.0	1.9947618897249064e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.27337497480472e-66	-7.184106845161066e-30	3.893675868200794e-62	4.5592716877691755e-11	6.148006283222999e-10	6.148006283222999e-10	1.0100000000000004e-08	1.9994880271010324e-10	4.73731691403962e-08	4.944441988665948e-08	4.098180156122514e-08	2.4800523811027486e-09	1.9800051197288686e-08	1.1065622775181241e-21	-3.535163235767807e-22	4.505000533422568e-07
42	1.957564713138159e-06	-5.736924421733773e-20	1.351853129596938e-09	9.491480935281518e-07	9e-08	1.0365082361930032e-10	6.814380519579825e-11	2.4475454210290474e-11	1.3729916974610726e-11	0.0	2.0026033897504576e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.810735191193947e-66	1.3556510894372718e-30	2.734690455082627e-62	4.342380770922389e-11	6.183708211058755e-10	6.183708211058755e-10	1.0100000000000004e-08	2.0168193188519736e-10	4.598473164955535e-08	4.9098250213020026e-08	4.2718996186232686e-08	2.4799739661024926e-09	1.979831806803312e-08	8.156885970197714e-20	-3.009820066560814e-20	4.5050005334225674e-07
43	1.955633720811397e-06	-6.2056898071279394e-21	1.1442377824949186e-09	9.493557088752483e-07	9e-08	1.0382921107780067e-10	6.933733819979877e-11	2.3841372701245178e-11	1.2992078021155126e-11	0.0	2.0135544948190645e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.307406783045428e-66	2.962360705081809e-33	2.027183106796125e-62	4.1394308281179096e-11	6.217722409964211e-10	6.21772240996421e-10	1.0100000000000004e-08	2.032681537229052e-10	4.467070610164903e-08	4.869252588610633e-08	4.4441179632894576e-08	2.4798644550518066e-09	1.9796731846266977e-08	9.999755556995515e-21	-3.7228067751655004e-21	4.505000533422565e-07
44	1.9537516233471346e-06	-5.008408550968363e-21	9.685803855659538e-10	9.495313662721752e-07	9e-08	1.0397602398367202e-10	7.053157178330268e-11	2.320111076786699e-11	1.229129346515802e-11	0.0	2.0273498073917074e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.341049943476597e-66	-1.8781440038047981e-34	1.5723892227989245e-62	3.9492596384681207e-11	6.250149993822943e-10	6.250149993822942e-10	1.0100000000000004e-08	2.0518327081323636e-10	4.34273572190664e-08	4.823338278970836e-08	4.614642546664723e-08	2.47972650192608e-09	1.979481672917671e-08	9.933894068283851e-21	-1.8984668897073773e-21	4.505000533422555e-07
45	1.951915186936341e-06	-5.049673996597845e-22	8.199313393781726e-10	9.496800153183594e-07	9e-08	1.0409038662128558e-10	7.172616154931322e-11	2.255703436421045e-11	1.1626417465190485e-11	0.0	2.043790045294077e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6937513692257534e-66	5.743667087331922e-35	1.2677528598295795e-62	3.77082005309436e-11	6.281083476396561e-10	6.28108347639656e-10	1.0100000000000004e-08	2.073465991146172e-10	4.225108528968654e-08	4.7726054550920834e-08	4.783301824149498e-08	2.4795620995470565e-09	1.9792653400875424e-08	9.839244666603325e-21	1.169686967106267e-21	4.505000533422518e-07
