time	Inh	Inh_T1	T1	T1_alpha	T2	T2_beta	T3	T3_Inh	alpha	alpha_T1	alpha_T1_alpha	alpha_T2	alpha_T2_beta	alpha_alpha_T1	alpha_beta_T2	beta	beta_Inh_T3	beta_T3	beta_T3_Inh
319.0.	0.49402877044331006	33.594321772963816	4.89812133254266	0.00200474194817	3.8728344020031793	0.012665237522032	1.469896968943305	36.711002611358744	0.030074252725057003	0.00037694937790000004	0.000781526539245	0.00025114593582100005	0.0006955782408450001	0.004393676628217	0.0035536362981220004	0.073966244894881	0.204228854396823	0.00011767170175900001	0.11475389359954201
324.0.5.0	0.38173313347459104	32.82181328060073	5.665969199472025	0.003284513840468	3.87235499479972	0.011432097949682	1.733387082973822	36.54132096269795	0.043779330175657	0.000621713029803	0.0012534070579840002	0.000362483951241	0.0009555239113090001	0.0070578859989730005	0.004894899388047	0.056411187760187005	0.144020107545586	0.000103405134269	0.08116844164855401
330.0.	0.31988357080648905	32.04756569519842	6.429121491503674	0.006339298814908001	3.8664074861996642	0.013264974301156002	2.001741689172513	36.32204645208517	0.07628420045892301	0.0012076187395690002	0.00237484469143	0.0006261664794030001	0.0015815963743970002	0.013391051051967001	0.008119776645381	0.051578543303185	0.11233760732723301	0.000106633384585	0.063767618030707
335.0.5.0	0.30393516098141804	31.297644216172586	7.150715041495365	0.014170580546916	3.849085607077786	0.020597475158432	2.2643295012930222	36.06542686668419	0.156499713404246	0.002715786787584	0.005230901479090001	0.0012714652322480002	0.0031015984452540005	0.029523473518429003	0.01594385408628	0.063537190485701	0.10796697151042702	0.000145291268183	0.062131369244391006
341.0.	0.35275847870278904	30.616591530526826	7.753823700826402	0.035748252183704005	3.802751670836167	0.041017007362427006	2.500561132975513	35.770148346681886	0.36999814407314	0.0068909234375330005	0.013086442874649001	0.0029578841677780003	0.007051030787525001	0.073859150150861	0.036222406846103006	0.109792452413751	0.144428842292495	0.000272846556521	0.084588831493797
346.0.5.0	0.5416181873680941	30.104169092442042	8.04367683706764	0.096859440475951	3.676679960626156	0.09607471136932401	2.66052982843682	35.40577983399739	0.9746995018604351	0.018784468151007	0.035674768551635004	0.007528028108735001	0.017961709599221002	0.20083539331170303	0.09175559029656101	0.245429737770357	0.271706648909291	0.000643576734547	0.161340111922156
352.0.	1.099629693974996	29.999386903612894	7.563338129611553	0.25170589536349103	3.346766382212776	0.23622812966282203	2.617668723640598	34.86495945450701	2.673050144842929	0.049210507005793006	0.096715417576894	0.018926582766322003	0.047881189740748	0.5396431468293701	0.24019771561733103	0.62489468934347	0.635736858761613	0.001609170588016	0.380025792502983
357.0.5.0	2.580938220700475	30.7335237499521	5.799377986168192	0.493270707590291	2.676855020604703	0.5074809553192491	2.133881130773847	33.878234034093644	6.546060387880461	0.09779976123780801	0.21257618524863903	0.038021616559183	0.11469614164729201	1.163451609802951	0.5529462658695721	1.5468930169336672	1.555512567896748	0.003269968740117	0.9291022984958881
363.0.	5.524299109298344	32.49082831350614	3.552863221918249	0.554050195745263	1.96728017510743	0.7831371679442161	1.190709182605165	32.15090810873187	11.005679708255812	0.11182164639212101	0.281065054197202	0.049242323579075	0.194217485861807	1.5093715682410251	0.8961228475074701	3.018329679933229	3.238320305802222	0.0036667669890810004	1.916395635871924
368.0.5.0	8.826989854401244	34.605282872091635	2.16958627326446	0.364498003919884	1.7785771385538	0.9023537574375501	0.454302389606891	30.178082301914973	10.736166664903172	0.073324854117778	0.20224475296149302	0.045020691903356	0.209277960339562	1.085063243644756	0.95477045176573	4.110549211736472	4.9669282656906155	0.002103899030807	2.898583143756981
374.0.	10.46432757297657	36.22960072394526	1.4808348466409131	0.165981281362264	2.107060479528853	0.871972603747951	0.20814200141625103	29.260862302882693	6.560885271246447	0.032393669943303005	0.09200876961743101	0.032845002400478	0.155514215597251	0.499180708490832	0.722607698725464	4.076238627226928	5.72871423087219	0.001158082313358	3.301123382515787
