time	APC	HC	HC3	HC36	HC5	HC53	HC536	HC56	LC	LC_APC	Va	Va3	Va36	Va36_APC	Va3_APC	Va5	Va53	Va536	Va536_APC	Va53_APC	Va56	Va56_APC	Va5_APC	VaA3	VaA36	VaA53	VaA536	VaLCA1	VaLCA1_APC	Va_APC
480.0.	3.546913403708917e-10	1.5605004776246482e-10	1.7920625859593e-12	7.047591161538315e-16	6.974091992520324e-10	8.298487381847867e-11	4.560778740472098e-13	3.019568097700942e-12	8.963592641020256e-10	4.535327004777368e-11	7.220093800165406e-12	2.0441169909534167e-11	9.915013632095578e-15	3.5150858290994683e-16	4.540203282996491e-13	4.7801248327290095e-08	6.773768658436522e-09	6.747927621684841e-11	5.7104452701477745e-12	5.308040654518055e-10	4.662581685867421e-10	2.3186319913253558e-11	2.2262874421548394e-09	2.8917727226440133e-09	1.1383810427956951e-12	1.3747427295222852e-07	7.680882149359731e-10	1.343219064670152e-07	6.813365803836068e-09	1.469411183033855e-13
492.0.	3.5469134037089193e-10	1.5604692285817762e-10	1.796253189734902e-12	7.067972797841446e-16	7.070865729165419e-10	8.436713024752501e-11	4.699649673228431e-13	3.115316035190759e-12	9.069888921010715e-10	4.5893974910701054e-11	5.59955422521993e-12	2.06595821297707e-11	1.002894090355477e-14	3.55055226465077e-16	4.575930912301957e-13	4.6174744040377153e-08	6.644131609429312e-09	6.720963310382861e-11	5.667820041207545e-12	5.178713535881177e-10	4.623308181639244e-10	2.2953652799394957e-11	2.150498829235519e-09	2.886173895388235e-09	1.136866290362e-12	1.3929817660973678e-07	7.893809319887788e-10	1.360730171818996e-07	6.901851121504526e-09	1.1395940315105e-13
504.0.	3.5469134037089193e-10	1.560434512931923e-10	1.80048772693119e-12	7.08858448698686e-16	7.164334464818203e-10	8.572309202073276e-11	4.837936678561898e-13	3.210221327196811e-12	9.17277854924093e-10	4.6417346452085346e-11	4.343660406737671e-12	2.087356809947795e-11	1.014065804588294e-14	3.586051313126112e-16	4.613394847864426e-13	4.460332232457888e-08	6.5195877999657265e-09	6.691909953388756e-11	5.6235385807617965e-12	5.054132798486262e-10	4.581333121547788e-10	2.271008302038762e-11	2.077284969941994e-09	2.880512881206582e-09	1.135333986679428e-12	1.41059450563498e-07	8.104341459933529e-10	1.377642235800491e-07	6.9873093446353914e-09	8.839905991068594e-14
516.0.	3.5469134037089193e-10	1.5603970116416822e-10	1.804765172714342e-12	7.109421142767703e-16	7.254610126205736e-10	8.70537884817199e-11	4.975598425736441e-13	3.30423058762385e-12	9.272377918946266e-10	4.69239769168611e-11	3.37037023998598e-12	2.108196847663593e-11	1.024963327532842e-14	3.621211147327171e-16	4.651732920047568e-13	4.308517695534405e-08	6.399919375053797e-09	6.660941173236336e-11	5.577761908429703e-12	4.934114459644542e-10	4.5368847557446757e-10	2.245661773987432e-11	2.0065595965562164e-09	2.874794414735911e-09	1.1337856981771079e-12	1.427602727920423e-07	8.312408847302658e-10	1.393975967424215e-07	7.0698451347849755e-09	6.859034514222604e-14
528.0.	3.546913403708918e-10	1.5603572556370213e-10	1.809084298877291e-12	7.13047674773643e-16	7.341800959609446e-10	8.836020507359301e-11	5.112597068924596e-13	3.397295016891598e-12	9.368799405637032e-10	4.7414438104871913e-11	2.616098222011388e-12	2.1283961952125076e-11	1.0355490943297589e-14	3.655756567030209e-16	4.690293812479965e-13	4.161854753978436e-08	6.2849185996610605e-09	6.628220760916122e-11	5.5306418623166125e-12	4.818482138923693e-10	4.4901790259460576e-10	2.219420847335964e-11	1.938239059874408e-09	2.8690226428545944e-09	1.1322227419127028e-12	1.444027444100185e-07	8.517949221935618e-10	1.409751347344927e-07	7.149559463315616e-09	5.3239149221768374e-14
540.0.	3.546913403708918e-10	1.560315659393496e-10	1.8134437350950052e-12	7.1517446360615e-16	7.426011625212696e-10	8.964328535391954e-11	5.248898051711561e-13	3.489370156042282e-12	9.462151506071692e-10	4.7889282078140665e-11	2.031570238162048e-12	2.147898662053048e-11	1.0457975156826951e-14	3.6894868350901133e-16	4.728589113419059e-13	4.020172151202682e-08	6.1743874150924205e-09	6.593903215215228e-11	5.4823215649904055e-12	4.707066757426137e-10	4.441420115328844e-10	2.1923753641698277e-11	1.8722423133962864e-09	2.8632012394962854e-09	1.130646237987484e-12	1.459888923249833e-07	8.72090736121611e-10	1.4249876520412542e-07	7.226549742713492e-09	4.134263182153746e-14
552.0.	3.546913403708916e-10	1.560272547124305e-10	1.8178420160263152e-12	7.173217710894452e-16	7.507343300360409e-10	9.09039329837962e-11	5.384469917254232e-13	3.580415645269721e-12	9.552538978333036e-10	4.83490418737561e-11	1.578592364616365e-12	2.1666678815718086e-11	1.0556921487299871e-14	3.722258423395201e-16	4.766255967467594e-13	3.883303518922876e-08	6.068136982310578e-09	6.558134259285934e-11	5.4329358763314135e-12	4.599706227716477e-10	4.390800997005523e-10	2.164610110471954e-11	1.808490877745244e-09	2.85733349584629e-09	1.129057150548324e-12	1.4752067194003278e-07	8.921234665485638e-10	1.439703480006029e-07	7.3009099589750856e-09	3.212345969392943e-14
564.0.	3.546913403708918e-10	1.5602281729121562e-10	1.822277617108697e-12	7.1948886094606135e-16	7.58589377764109e-10	9.214301354739457e-11	5.51928413466715e-13	3.67039500138461e-12	9.640062969689393e-10	4.879423215460052e-11	1.2275672582897279e-12	2.184682617839607e-11	1.065223526808282e-14	3.753971765457833e-16	4.803028385980433e-13	3.7510874268616485e-08	5.965987250830936e-09	6.521051306274304e-11	5.382611805538686e-12	4.496245162640361e-10	4.3385039403491153e-10	2.1362050493989087e-11	1.7469087986672151e-09	2.8514223901118722e-09	1.12745631939479e-12	1.489999696398211e-07	9.118888776808957e-10	1.4539167757118468e-07	7.372730792748354e-09	2.497925955862817e-14
576.0.	3.546913403708918e-10	1.5601827364255082e-10	1.8267489819173123e-12	7.216749829136832e-16	7.661757568180853e-10	9.336135633727377e-11	5.653314930588971e-13	3.759275400069444e-12	9.724821144858168e-10	4.922534986212209e-11	9.555557812982879e-13	2.2019331132446977e-11	1.074387471113479e-14	3.7845609359826946e-16	4.838714878829718e-13	3.623367376604484e-08	5.867766527742729e-09	6.482783907421221e-11	5.331468912117108e-12	4.396534582643028e-10	4.2847010127484063e-10	2.1072355516434257e-11	1.6874225933234102e-09	2.845470642608084e-09	1.125844484779328e-12	1.504286052937394e-07	9.31383320766799e-10	1.467644853609598e-07	7.442099740638953e-09	1.9443167752752913e-14
588.0.	3.546913403708917e-10	1.560136395068385e-10	1.831254542836082e-12	7.238793822621754e-16	7.73502600340839e-10	9.455975604019322e-11	5.78653913068491e-13	3.847027469569657e-12	9.80690780852839e-10	4.9642874839889016e-11	7.447788973519271e-13	2.218418274218612e-11	1.083183790243557e-14	3.813985689672375e-16	4.87318118536312e-13	3.499991759995564e-08	5.7733110640049425e-09	6.44345416975323e-11	5.279619683118864e-12	4.3004316343389303e-10	4.2295545579451414e-10	2.0777726145448877e-11	1.6299611916182012e-09	2.8394807588519505e-09	1.124222306683285e-12	1.518083346554681e-07	9.506036990123732e-10	1.480904421045877e-07	7.509101231050997e-09	1.5153340415891933e-14
600.0.	3.5469134037089147e-10	1.560089273377567e-10	1.835792736624467e-12	7.261013069530155e-16	7.805787333008507e-10	9.57389743111525e-11	5.918936011602767e-13	3.933625096831033e-12	9.886414020653358e-10	5.00472704203473e-11	5.814593283219371e-13	2.2341435025072596e-11	1.091615278439327e-14	3.84222531850697e-16	4.906336937793348e-13	3.3808137945888e-08	5.682464664411755e-09	6.403177143264014e-11	5.227169885387585e-12	4.2077993247258933e-10	4.1732176470014704e-10	2.047883068318514e-11	1.5744558757539812e-09	2.833455063342206e-09	1.122590379817513e-12	1.531408516260967e-07	9.695474346669685e-10	1.493711599813667e-07	7.573816733118697e-09	1.1829378567267701e-14
612.0.	3.546913403708913e-10	1.5600414703575649e-10	1.8403620160186664e-12	7.283400129662635e-16	7.874126826634678e-10	9.689974132490853e-11	6.050487156556492e-13	4.019045237263767e-12	9.963427713143849e-10	5.04389840186996e-11	4.549178702833471e-13	2.249119012581115e-11	1.099686938750593e-14	3.869273875778511e-16	4.938125277041888e-13	3.265691430805204e-08	5.5950783015611015e-09	6.362061197413289e-11	5.174218911166527e-12	4.1185062558303693e-10	4.1158345264532236e-10	2.0176297805394927e-11	1.5208402132897143e-09	2.8273957265133136e-09	1.120949245451101e-12	1.5442779054397e-07	9.882124368596995e-10	1.506081947899583e-07	7.636324866629879e-09	9.253936082275177e-15
624.0.	3.546913403708915e-10	1.5599930651164802e-10	1.844960858313002e-12	7.305947682350687e-16	7.940126867223201e-10	9.804275718310235e-11	6.181176323343484e-13	4.1032677400543035e-12	1.003803379570981e-09	5.081844767155873e-11	3.56879323419677e-13	2.263358544895313e-11	1.1074053892408739e-14	3.895136517758472e-16	4.968514889416787e-13	3.154487255089797e-08	5.5110097632245255e-09	6.320208362177017e-11	5.120860092947186e-12	4.032426382493051e-10	4.057541028965425e-10	1.987071843384568e-11	1.4690499938349201e-09	2.821304785801977e-09	1.119299400573051e-12	1.5567072826581758e-07	1.006597072062911e-09	1.518030479213327e-07	7.69670150175011e-09	7.258593787761605e-15
636.0.	3.5469134037089147e-10	1.5599441212765272e-10	1.849587771560679e-12	7.328648554807183e-16	8.0038670477011e-10	9.916869330783355e-11	6.310989315048871e-13	4.186275176245859e-12	1.0110314263642922e-09	5.118607858547069e-11	2.809297560021342e-13	2.27687836829387e-11	1.1147784029130609e-14	3.919826657862438e-16	4.997493798367433e-13	3.047068374316381e-08	5.430123304175071e-09	6.277714662278984e-11	5.0671810142471775e-12	3.949438770704894e-10	3.998464982727799e-10	1.9562647599696297e-11	1.419023160980486e-09	2.8151841626856004e-09	1.117641305174937e-12	1.5687118628162171e-07	1.0247001351395e-09	1.5295716836054911e-07	7.755019860202622e-09	5.7128135498361615e-15
648.0.	3.546913403708912e-10	1.559894690374815e-10	1.854241298987394e-12	7.351495742244151e-16	8.065424262369318e-10	1.002781937352101e-10	6.439913859645242e-13	4.2680526779984494e-12	1.018034829871733e-09	5.154227965041388e-11	2.2209833008618372e-13	2.289696517454959e-11	1.121814556253171e-14	3.943363784511953e-16	5.025064594393853e-13	2.9433062983829334e-08	5.352289322135137e-09	6.234670426504539e-11	5.0132637989149226e-12	3.8694273720787683e-10	3.938726594917502e-10	1.925260618757449e-11	1.3706997466542622e-09	2.8090356762145802e-09	1.115975387946991e-12	1.580306326951327e-07	1.0425208222993021e-09	1.5407195455912758e-07	7.811350609906724e-09	4.5154274758688015e-15
660.0.	3.546913403708913e-10	1.559844814503946e-10	1.858920022034179e-12	7.37448242167616e-16	8.124872795456224e-10	1.01371876340649e-10	6.567939495994104e-13	4.348587785841098e-12	1.024821236609425e-09	5.188743993295657e-11	1.765329227665387e-13	2.3018322076791402e-11	1.128522959720061e-14	3.965771779332415e-16	5.051240748667544e-13	2.843076819467913e-08	5.2773840515821135e-09	6.191160579873346e-11	4.959185385780364e-12	3.792280809543843e-10	3.878438817805565e-10	1.894108259933675e-11	1.3240218063820292e-09	2.802861053932916e-09	1.1143020507853928e-12	1.59150484123955e-07	1.060058705439561e-09	1.551487562296917e-07	7.865761955686463e-09	3.5880360693855836e-15
672.0.	3.546913403708913e-10	1.559794528369829e-10	1.863622562288392e-12	7.397601960598559e-16	8.182284410347217e-10	1.0245033403411322e-10	6.695057463585622e-13	4.42787030048953e-12	1.0313980311065601e-09	5.222193516859023e-11	1.4124770669042783e-13	2.313305386802037e-11	1.134913051580249e-14	3.987077620938808e-16	5.076043760397782e-13	2.746259883952943e-08	5.205289266440383e-09	6.147264926392087e-11	4.905017795981782e-12	3.717892167346705e-10	3.8177077076854264e-10	1.862853438335529e-11	1.2789333530207671e-09	2.7966619408612833e-09	1.112621672401196e-12	1.602321075922596e-07	1.077313707334624e-09	1.561888761325568e-07	7.918319729570975e-09	2.8698709194959483e-15
684.0.	3.5469134037089147e-10	1.559743860876163e-10	1.868347582684989e-12	7.420847922321691e-16	8.23772843128204e-10	1.035141358476159e-10	6.821260601217447e-13	4.505892146232811e-12	1.0377723447266222e-09	5.2546128210645637e-11	1.139290266429452e-13	2.3241363952367048e-11	1.140994441645128e-14	4.007310396094585e-16	5.099500973186988e-13	2.652739471961794e-08	5.135892009371354e-09	6.103058407049397e-11	4.850828377941841e-12	3.64615879966492e-10	3.75663275485535e-10	1.83153897322223e-11	1.235380295568032e-09	2.7904399067215995e-09	1.1109346111619148e-12	1.612768222571946e-07	1.0942860787496721e-09	1.571935717041754e-07	7.969087473101524e-09	2.313843847949525e-15
696.0.	3.546913403708916e-10	1.5596928363666273e-10	1.873093788008529e-12	7.444214068080932e-16	8.291271827608147e-10	1.045638280176134e-10	6.946543247572552e-13	4.582647236620501e-12	1.0439510646961222e-09	5.286036948976197e-11	9.278358109231726e-14	2.3343457073971908e-11	1.1467767925865831e-14	4.0265005387886574e-16	5.121643883211495e-13	2.562403468972438e-08	5.0690843248477125e-09	6.058611354320854e-11	4.796680050112532e-12	3.576982139609514e-10	3.6953072126947374e-10	1.800204897452666e-11	1.1933103753894571e-09	2.784196452073111e-09	1.1092412074153431e-12	1.622859011698216e-07	1.1109763760336731e-09	1.581640567178669e-07	8.018126521268825e-09	1.8834570583225462e-15
708.0.	3.546913403708916e-10	1.559641475582268e-10	1.877859924993719e-12	7.467694357315049e-16	8.342979291748441e-10	1.0559993497830521e-10	7.070901149274636e-13	4.658131349924581e-12	1.049940842432944e-09	5.3164997437713416e-11	7.642164677483661e-14	2.343953737528931e-11	1.1522697309392001e-14	4.044679253021541e-16	5.142506848255303e-13	2.475143544961388e-08	5.004763014194963e-09	6.013989726016276e-11	4.74263152502326e-12	3.5102675235981603e-10	3.633818402460579e-10	1.768888595637494e-11	1.1526731068732642e-09	2.7779330133497383e-09	1.107541785343181e-12	1.632605728993239e-07	1.1273854403422281e-09	1.5910150281490328e-07	8.065496079897632e-09	1.550426490748529e-15
720.0.	3.546913403708917e-10	1.559589796408763e-10	1.88264478205358e-12	7.491282946235861e-16	8.392913316086576e-10	1.066229603193929e-10	7.194331372744624e-13	4.732342009553305e-12	1.0557481017226109e-09	5.346033890349161e-11	6.376622565066821e-14	2.3529806944337288e-11	1.1574827806532551e-14	4.0618780735808836e-16	5.16212609598836e-13	2.390855033138407e-08	4.942829401217107e-09	5.969255330034497e-11	4.6887375253160156e-12	3.445924021890677e-10	3.5722480083422464e-10	1.7376249377828098e-11	1.113419718573989e-09	2.771650967168492e-09	1.105836654484304e-12	1.6420202312378831e-07	1.143514377732653e-09	1.600070410039146e-07	8.111253301429216e-09	1.2928327558412831e-15
732.0.	3.546913403708921e-10	1.559537814458376e-10	1.887447188725696e-12	7.51497418510688e-16	8.441134268496658e-10	1.076333877070583e-10	7.316832219970654e-13	4.805278369625473e-12	1.0613790467198341e-09	5.374670956049418e-11	5.398257224263446e-14	2.3614464745289407e-11	1.162425314304314e-14	4.0781285350791495e-16	5.18053896728091e-13	2.309436809208642e-08	4.883189108044732e-09	5.924466039347796e-11	4.635048991213118e-12	3.383864275264429e-10	3.510672362120167e-10	1.706446408139673e-11	1.07550309513642e-09	2.7653516340519573e-09	1.104126110995454e-12	1.6511139618395e-07	1.1593645401673541e-09	1.6088176312534358e-07	8.155453358936671e-09	1.093686855754928e-15
744.0.	3.5469134037089333e-10	1.5594855435202992e-10	1.89226601499037e-12	7.538762614948669e-16	8.487700462284313e-10	1.0863168173092742e-10	7.438403150379803e-13	4.8769411086253946e-12	1.066839669343461e-09	5.4024414282842714e-11	4.642386918699403e-14	2.3693705836034002e-11	1.167106517503624e-14	4.0934619239642797e-16	5.197783342090791e-13	2.230791178626387e-08	4.8257518495239054e-09	5.879675990459287e-11	4.581613272659282e-12	3.324004344802581e-10	3.4491627073388804e-10	1.675383224778292e-11	1.0388777233648241e-09	2.75903628158158e-09	1.102410438681948e-12	1.659897965184347e-07	1.174937507851525e-09	1.617267232038305e-07	8.19814951447575e-09	9.398245580799754e-16
756.0.	3.5469134037089234e-10	1.55943299591506e-10	1.897100170370334e-12	7.562642963238528e-16	8.532668227921473e-10	1.096182887475881e-10	7.55904470442897e-13	4.9473323253992885e-12	1.0721357568318882e-09	5.4293747529862166e-11	4.0588775737615516e-14	2.376772081856339e-11	1.171535364030443e-14	4.107909095163215e-16	5.213897204340717e-13	2.154823759827166e-08	4.7704312305808855e-09	5.834935779151528e-11	4.528474319323004e-12	3.2662635620579853e-10	3.387785461734257e-10	1.644463458246001e-11	1.003499636730721e-09	2.7527061272693126e-09	1.1006899098877489e-12	1.668382901252623e-07	1.19023507203916e-09	1.625429388257733e-07	8.239393188707158e-09	8.210424113378987e-16
768.0.	3.546913403708924e-10	1.559380182768312e-10	1.9019486030128353e-12	7.586610139546704e-16	8.57609197851954e-10	1.1059363764770871e-10	7.678758433261437e-13	5.016455443238435e-12	1.077272898630517e-09	5.455499369656868e-11	3.608881666860476e-14	2.383669545430604e-11	1.175720598524468e-14	4.1215003375900716e-16	5.228918315889396e-13	2.081443377123345e-08	4.717144562060052e-09	5.790292639370793e-11	4.475672854855229e-12	3.210564392715102e-10	3.326602458366863e-10	1.6137131406136207e-11	9.69326364639076e-10	2.7463623410151203e-09	1.098964786231206e-12	1.676579058941233e-07	1.2052592191601011e-09	1.633313923947392e-07	8.279234024345276e-09	7.294340349633444e-16
780.0.	3.546913403708924e-10	1.5593271142266822e-10	1.906810298653494e-12	7.610659230630903e-16	8.618024275759975e-10	1.11558140610341e-10	7.79754683054958e-13	5.084315116970229e-12	1.08225649330799e-09	5.48084274656187e-11	3.262293068886336e-14	2.390081041755633e-11	1.179670725528887e-14	4.1342652782275547e-16	5.242883973809482e-13	2.01056195222488e-08	4.665812681470859e-09	5.745790617956108e-11	4.4232465473676215e-12	3.15683230246608e-10	3.265671182269652e-10	1.583156372401625e-11	9.363168812420225e-10	2.740006047379691e-09	1.097235319252765e-12	1.684496369403871e-07	1.220012115502537e-09	1.640930323888809e-07	8.317719949707421e-09	6.588721216338191e-16
792.0.	3.546913403708925e-10	1.5592737996263662e-10	1.911684279551552e-12	7.634785495408419e-16	8.658515893031439e-10	1.125121938156747e-10	7.915413268208672e-13	5.1509171452930895e-12	1.08709175516791e-09	5.505431414376022e-11	2.9957801912075095e-14	2.396024114951777e-11	1.183394003134795e-14	4.146232815507826e-16	5.255830832575407e-13	1.9420943999559613e-08	4.616359784342792e-09	5.701470739387638e-11	4.371230170639888e-12	3.1049956301137704e-10	3.205044994862113e-10	1.552815423943199e-11	9.044315563583068e-10	2.7336383276333712e-09	1.0955017509759842e-12	1.692144418787524e-07	1.2344960927830481e-09	1.6482877456152871e-07	8.354897239390891e-09	6.046081379288125e-16
804.0.	3.546913403708924e-10	1.5592202476250573e-10	1.916569603433766e-12	7.658984359979059e-16	8.697615874955224e-10	1.13456178110807e-10	8.032361936118728e-13	5.2162683885292985e-12	1.091783720474223e-09	5.529290997862309e-11	2.7912651386714948e-14	2.401515778423612e-11	1.186898439911497e-14	4.1574310743465733e-16	5.267794775068639e-13	1.875958529652729e-08	4.568713267458204e-09	5.657371160076858e-11	4.319655755400306e-12	3.054985469076073e-10	3.1447733448338513e-10	1.522710830622839e-11	8.73632109155391e-10	2.7272602215989903e-09	1.093764314394632e-12	1.69953246021223e-07	1.2487136346128661e-09	1.6553950307040668e-07	8.39081057134242e-09	5.629627973538297e-16
816.0.	3.546913403708924e-10	1.559166466306928e-10	1.921465362368174e-12	7.683251412325482e-16	8.735371597871118e-10	1.143904596701304e-10	8.148397783591596e-13	5.2803766888720655e-12	1.0963372537627829e-09	5.5524462479892144e-11	2.634737280166271e-14	2.406572514226044e-11	1.1901917949378971e-14	4.167887379695663e-16	5.27881082319195e-13	1.812074944670763e-08	4.522803574895354e-09	5.613527319817391e-11	4.2685527379792425e-12	3.006735549698502e-10	3.084901976044883e-10	1.492861486672716e-11	8.438815610390032e-10	2.720872729424153e-09	1.092023233921908e-12	1.7066694258825128e-07	1.262667363439913e-09	1.662260716197691e-07	8.425503084579976e-09	5.310845949418376e-16
828.0.	3.5469134037089224e-10	1.559112463264503e-10	1.926370681714e-12	7.707582397378729e-16	8.771828824741436e-10	1.153153905937393e-10	8.263526465485676e-13	5.343250796886642e-12	1.100757053567055e-09	5.574921071066728e-11	2.5153419192783622e-14	2.411210275676708e-11	1.1932815792929421e-14	4.177628241445604e-16	5.288913076006742e-13	1.750366951023649e-08	4.4785640586171176e-09	5.569972080041048e-11	4.217948096422041e-12	2.9601821326044e-10	3.025473118069473e-10	1.463284731164074e-11	8.151441928671787e-10	2.7144768131478474e-09	1.0902787257775901e-12	1.713563938075315e-07	1.2763600284937352e-09	1.6688930449635082e-07	8.459016431547974e-09	5.067643309826068e-16
840.0.	3.5469134037089234e-10	1.559058245664602e-10	1.9312847190170654e-12	7.731973211831921e-16	8.807031761263662e-10	1.162313095045866e-10	8.377754289761094e-13	5.404900300122974e-12	1.1050476582582082e-09	5.596738558464219e-11	2.424667774905104e-14	2.4154444942141507e-11	1.1961750594912411e-14	4.1866793506987354e-16	5.298134671892189e-13	1.690760463831114e-08	4.43593084095344e-09	5.526735860320372e-11	4.167866484835447e-12	2.9152639022214475e-10	2.966525674710165e-10	1.433996432989267e-11	7.873855011963756e-10	2.7080733982392513e-09	1.088530998355613e-12	1.7202243203141111e-07	1.2897944941405352e-09	1.675299976234031e-07	8.491390831385966e-09	4.882900970978983e-16
852.0.	3.5469134037089203e-10	1.559003820300524e-10	1.936206662954851e-12	7.756419899191817e-16	8.841023108481745e-10	1.171385421040085e-10	8.49108816849164e-13	5.465335556441943e-12	1.109213451515978e-09	5.6179210144493056e-11	2.356197921258854e-14	2.4192900881570487e-11	1.198879261761732e-14	4.195065582716056e-16	5.306507766993888e-13	1.633183919504735e-08	4.394842687016171e-09	5.4838467655025943e-11	4.118330358821951e-12	2.871921867641632e-10	2.908095400308541e-10	1.405011070334827e-11	7.60572157242441e-10	2.701663375008959e-09	1.08678025255361e-12	1.7266586078297572e-07	1.302973729011808e-09	1.681489195474518e-07	8.522665119797015e-09	4.743355300215264e-16
864.0.	3.546913403708921e-10	1.558949193633966e-10	1.941135732305654e-12	7.780918644946979e-16	8.873844113406039e-10	1.180374016999747e-10	8.603535571487168e-13	5.524567630951531e-12	1.113258667586804e-09	5.6384899829441796e-11	2.3048839290118792e-14	2.422761473086215e-11	1.201400977058279e-14	4.2028110052248905e-16	5.314063526362842e-13	1.577568191173003e-08	4.355240884199789e-09	5.441330706562154e-11	4.069360094774601e-12	2.830099268381415e-10	2.8502150675662484e-10	1.376341806299189e-11	7.346719673824641e-10	2.6952475999391723e-09	1.085026682076984e-12	1.7328745576000642e-07	1.315900795738747e-09	1.6874681238545182e-07	8.552876796914376e-09	4.638731396140024e-16
876.0.	3.546913403708918e-10	1.558894371829287e-10	1.9460711749035623e-12	7.805465771671144e-16	8.905534619694031e-10	1.189281897261203e-10	8.715104481707389e-13	5.582608235519311e-12	1.1171873965408621e-09	5.6584662742761024e-11	2.2668144465183923e-14	2.4258725741021767e-11	1.203746766915105e-14	4.209938891863751e-16	5.320832126193423e-13	1.5238465039297743e-08	4.317069124765667e-09	5.399211518109428e-11	4.020974105895507e-12	2.7897414816693783e-10	2.7929146311451214e-10	1.3480005625396729e-11	7.0965383359915e-10	2.688826896987139e-09	1.0832704737308361e-12	1.738879658365763e-07	1.328578841156147e-09	1.693243927701176e-07	8.582062075075561e-09	4.561068575803427e-16
888.0.	3.546913403708918e-10	1.558839360780921e-10	1.951012266675848e-12	7.830057734517017e-16	8.9361331138847e-10	1.198111962141974e-10	8.825803354021252e-13	5.639469672809733e-12	1.1210035890657212e-09	5.677869989569972e-11	2.238960353498054e-14	2.428636837934428e-11	1.205922969210691e-14	4.216471737019586e-16	5.326842761428787e-13	1.4719543574776122e-08	4.280273399147495e-09	5.3575110662846616e-11	3.973188948942541e-12	2.7507959380822744e-10	2.7362213782116863e-10	1.3199980870623938e-11	6.854877173890743e-10	2.682402058763636e-09	1.081511807680446e-12	1.744681139762656e-07	1.3410110872209521e-09	1.6988235271168462e-07	8.610255922373013e-09	4.504201704271331e-16
900.0.	3.546913403708921e-10	1.5587841661364781e-10	1.9559583106477442e-12	7.854691116556947e-16	8.965676772869418e-10	1.2068670026863772e-10	8.935641075168608e-13	5.695164782141574e-12	1.1247110613810772e-09	5.696720545756798e-11	2.218975427567095e-14	2.431067246581473e-11	1.207935704628121e-14	4.222431274395441e-16	5.332123660819158e-13	1.421829446655752e-08	4.244801889967784e-09	5.316249355538317e-11	3.92601942970411e-12	2.713212036734662e-10	2.680160077481242e-10	1.292344021249367e-11	6.621446027003643e-10	2.67597384772249e-09	1.079750857710276e-12	1.750285981659247e-07	1.353200822289599e-09	1.704213604795835e-07	8.637492107210712e-09	4.463355505458136e-16
912.0.	3.5469134037089193e-10	1.5587287933155652e-10	1.960908636017703e-12	7.879362624456895e-16	8.99420150771082e-10	1.2155497050272982e-10	9.044626926566251e-13	5.749706889213362e-12	1.1283134997730552e-09	5.7150366986463354e-11	2.2050430451930492e-14	2.4331763305322828e-11	1.2097908828988811e-14	4.2278384958506433e-16	5.336702104489171e-13	1.373411588056773e-08	4.21060487480352e-09	5.275444627281647e-11	3.879478700646041e-12	2.6769410672964693e-10	2.624753117287492e-10	1.265046961958026e-11	6.39596461717967e-10	2.669542997251502e-09	1.07798779145915e-12	1.755700922769237e-07	1.3651513930109051e-09	1.709420614155801e-07	8.66380323939721e-09	4.4348325634973003e-16
924.0.	3.5469134037089203e-10	1.5586732475257632e-10	1.965862597243862e-12	7.904069084203327e-16	9.021742006749396e-10	1.224162654617758e-10	9.152770548833315e-13	5.803109758274266e-12	1.1318144650505711e-09	5.732836565603014e-11	2.195756898932541e-14	2.4349761823720438e-11	1.2114942092159452e-14	4.2327136716057447e-16	5.340604444863314e-13	1.3266426478128342e-08	4.177634632623622e-09	5.235113455036912e-11	3.833578354987537e-12	2.641936134339594e-10	2.57002063869445e-10	1.2381145213466659e-11	6.178162212024981e-10	2.6631102127358443e-09	1.076222770647385e-12	1.760932469101382e-07	1.376866196644213e-09	1.714450787318134e-07	8.689220810475217e-09	4.415770554986449e-16
936.0.	3.5469134037089203e-10	1.558617533776299e-10	1.970819573145717e-12	7.928807436901686e-16	9.048331777863089e-10	1.232708340324039e-10	9.260081908088745e-13	5.8553875468086535e-12	1.135217396910283e-09	5.750137647756572e-11	2.1900284827133883e-14	2.436478470625811e-11	1.213051190740953e-14	4.2370763713959363e-16	5.343856130095015e-13	1.281466470783742e-08	4.145845353864678e-09	5.195270835727043e-11	3.78832851694217e-12	2.608152084084867e-10	2.5159806633704404e-10	1.2115533843022361e-11	5.967777294889479e-10	2.656676172592222e-09	1.074455951296023e-12	1.7659869022238158e-07	1.3883486738141182e-09	1.719310142915609e-07	8.713775233178064e-09	4.4039539602937233e-16
948.0.	3.546913403708921e-10	1.5585616568895363e-10	1.975778966069918e-12	7.953574734877259e-16	9.074003187552441e-10	1.2411891581966132e-10	9.366571264542646e-13	5.906554763338585e-12	1.138525617971844e-09	5.7669568505350824e-11	2.1870157749741617e-14	2.437694452847796e-11	1.214467142750441e-14	4.2409454848158147e-16	5.346481727425333e-13	1.2378288150528201e-08	4.115193057819296e-09	5.155930274381748e-11	3.743737925538959e-12	2.575545436934871e-10	2.462649212330795e-10	1.1853693617751879e-11	5.764557259627806e-10	2.6502415292228673e-09	1.072687483927834e-12	1.770870286901456e-07	1.3996023017545641e-09	1.7240044933071668e-07	8.73749587788998e-09	4.3976689173397234e-16
