	species_0000001	species_0000002	species_0000006	species_0000007	species_0000008	species_0000009	species_0000011	species_0000016	species_0000017
43	4.122413934975084e-11	5e-06	9.710949963567282e-10	4.832369579104853e-08	1.1769273412654471e-22	8.901197441870223e-07	1.1289270057662971e-11	1e-05	1e-05
44	4.1224313622548165e-11	5e-06	9.712933818475129e-10	4.833451183169851e-08	4.200109118251657e-23	8.903209602665006e-07	1.1291795852578684e-11	1e-05	1e-05
45	4.122413104578649e-11	5e-06	9.71095057485877e-10	4.834261453300249e-08	5.42927774961772e-23	8.904870866008205e-07	1.1293683903936224e-11	1e-05	1e-05
46	4.1224313611416026e-11	5e-06	9.712931483998007e-10	4.834944635524997e-08	4.200107963681331e-23	8.906157745833722e-07	1.1295280576679407e-11	1e-05	1e-05
47	4.122413104997476e-11	5e-06	9.710952905011726e-10	4.835520681810779e-08	5.427771813044952e-23	8.907278128018893e-07	1.1296622105370991e-11	1e-05	1e-05
48	4.122431360218396e-11	5e-06	9.712929155452825e-10	4.836006355723938e-08	4.2001068859255176e-23	8.908211810939164e-07	1.1297757925178495e-11	1e-05	1e-05
49	4.122413105399113e-11	5e-06	9.71095522964649e-10	4.836415849151492e-08	5.426269087411175e-23	8.909002421833823e-07	1.129871083026153e-11	1e-05	1e-05
50	4.1224313594302984e-11	5e-06	9.712926832696868e-10	4.8367610883395054e-08	4.2001058846306274e-23	8.909667944939734e-07	1.1299518968910553e-11	1e-05	1e-05
51	4.12241310581983e-11	5e-06	9.710957548861745e-10	4.8370521666598346e-08	5.424769899217788e-23	8.910229372822818e-07	1.1300195571867704e-11	1e-05	1e-05
52	4.122431358738261e-11	5e-06	9.712924515625018e-10	4.837297565643464e-08	4.2001049594659424e-23	8.910702609842881e-07	1.1300770749960237e-11	1e-05	1e-05
53	4.122413106254096e-11	5e-06	9.710959862657517e-10	4.837504462248614e-08	5.423274239709634e-23	8.911101617260407e-07	1.1301250928751661e-11	1e-05	1e-05
54	4.1224313581145196e-11	5e-06	9.71292220415884e-10	4.837678887276708e-08	4.200104110119101e-23	8.911438003599441e-07	1.1301660500906365e-11	1e-05	1e-05
55	4.1224131066979794e-11	5e-06	9.710962171037524e-10	4.8378259431509975e-08	5.421782100265167e-23	8.911721602097349e-07	1.1302001051194503e-11	1e-05	1e-05
56	4.122431357539328e-11	5e-06	9.71291989823889e-10	4.8379499176217564e-08	4.2001033362918844e-23	8.911960694688288e-07	1.1302292905367473e-11	1e-05	1e-05
57	4.1224131071486875e-11	5e-06	9.710964474008068e-10	4.838054437795957e-08	5.420293472354023e-23	8.912162262985249e-07	1.130253420558055e-11	1e-05	1e-05
58	4.122431356998653e-11	5e-06	9.712917597819242e-10	4.838142551958205e-08	4.200102637693297e-23	8.912332197257096e-07	1.1302742385704791e-11	1e-05	1e-05
59	4.1224131076042314e-11	5e-06	9.710966771577303e-10	4.838216838221034e-08	5.418808347514748e-23	8.912475459581115e-07	1.1302913140032993e-11	1e-05	1e-05
60	4.1224313564825214e-11	5e-06	9.712915302863594e-10	4.838279463627908e-08	4.200102014040468e-23	8.912596237248062e-07	1.1303061846412646e-11	1e-05	1e-05
61	4.1224131080631984e-11	5e-06	9.710969063754676e-10	4.838332260517833e-08	5.41732671734126e-23	8.912698057319537e-07	1.1303182458790877e-11	1e-05	1e-05
62	4.1224313559838355e-11	5e-06	9.71291301334248e-10	4.8383767694509485e-08	4.200101465057147e-23	8.912783896167342e-07	1.1303288893425885e-11	1e-05	1e-05
63	4.1224131085245836e-11	5e-06	9.710971350550545e-10	4.8384142926123144e-08	5.415848573472013e-23	8.912856260793763e-07	1.130337386703277e-11	1e-05	1e-05
64	4.122431355497557e-11	5e-06	9.712910729231317e-10	4.838445925221545e-08	4.200100990469189e-23	8.912917266751173e-07	1.1303450256946174e-11	1e-05	1e-05
65	4.1224131089876735e-11	5e-06	9.710973631975927e-10	4.8384725926130394e-08	5.41437390758308e-23	8.912968695949715e-07	1.1303509900358093e-11	1e-05	1e-05
66	4.122431355020106e-11	5e-06	9.712908450508985e-10	4.838495073449127e-08	4.2001005900060617e-23	8.91301205204991e-07	1.1303564936172958e-11	1e-05	1e-05
