	E	E_M	E_P2	E_P_1	E_P_2	M	P	P2	T
83	0.0001491452605787699	1.3448890629448668e-07	5.098037779735313e-07	1.878440838040287e-07	2.260265033475997e-08	0.0012503695554804022	0.0015886044597877148	0.030981251781783306	0.9661789194635199
84	0.00014917843896947996	1.2272206113938863e-07	5.068130257015525e-07	1.7140174167720856e-07	2.0624199178833e-08	0.0011407171175937263	0.001449228510937177	0.030792647941427036	0.966616584869004
85	0.00014920898708214	1.1198005722809541e-07	5.038218364135213e-07	1.563927975995608e-07	1.8818223795965776e-08	0.0010406557063796988	0.001322054773374293	0.030604641208539486	0.9670318572987813
86	0.00014923713061825702	1.0217440869471134e-07	5.00831924224679e-07	1.4269324327543974e-07	1.716980272529632e-08	0.0009493505391973501	0.001206019104258733	0.030417279352678874	0.9674265881344759
87	0.00014926307608707716	9.32241402563009e-08	4.978448414546103e-07	1.3018964186285536e-07	1.5665286526269038e-08	0.000866038801348553	0.0011001494874780333	0.030230605367726853	0.9678024694195261
88	0.0001492870123875638	8.505517159237072e-08	4.948619926368578e-07	1.1877825289933769e-07	1.4292192484764989e-08	0.0007900235585682071	0.0010035581695081554	0.030044657885444203	0.9681610473988594
89	0.00014930911226869844	7.759974839039891e-08	4.91884647385136e-07	1.0836422520396848e-07	1.3039107499227962e-08	0.0007206681639714387	0.0009154344474585426	0.029859471554504156	0.9685037349463269
90	0.00014932953367566534	7.079591730045248e-08	4.889139521926169e-07	9.886085339831233e-08	1.1895598620568035e-08	0.0006573911238525659	0.0008350380597354611	0.02967507738764733	0.9688318229624325
91	0.0001493484209897935	6.458704187526195e-08	4.859509412512535e-07	9.018889354997331e-08	1.0852130707273459e-08	0.0005996613868650796	0.0007616931306157688	0.029491503079553456	0.9691464908239478
92	0.0001493659061697587	5.892135669808717e-08	4.82996546359309e-07	8.227593368026265e-08	9.89999068092071e-09	0.0005469940235881019	0.0006947826238878017	0.029308773297816514	0.9694488159608695
93	0.00014938210980078054	5.3751557161002585e-08	4.800516059898788e-07	7.505581532121916e-08	9.031217924690797e-09	0.0004989462670564562	0.0006337432657913506	0.029126909949139978	0.9697397826278054
94	0.00014939714205859832	4.903442232649241e-08	4.771168735851571e-07	6.846810230260414e-08	8.238540364706838e-09	0.0004551138854919824	0.0005780608987318821	0.028945932422799688	0.9700202899350274
95	0.0001494111035946928	4.473046840850553e-08	4.7419302513952957e-07	6.245759313982818e-08	7.515315797644775e-09	0.00041512786023144635	0.0005272662298504397	0.028765857813281896	0.9702911592002234
96	0.00014942408634857973	4.080363064183313e-08	4.7128066612765205e-07	5.697387375731451e-08	6.855478071796299e-09	0.0003786513447369492	0.00048093094252849624	0.0285867011237903	0.9705531406752854
97	0.00014943617429271874	3.7220971424321665e-08	4.683803378317503e-07	5.1970907454442814e-08	6.253487749156176e-09	0.000345376882008683	0.00043866414085771667	0.028408475452214758	0.9708069196992042
98	0.00014944744411552537	3.39524126010149e-08	4.6549252311768794e-07	4.740665905362243e-08	5.704286880735085e-09	0.00031502385845713925	0.00040010909843912263	0.028231192161074545	0.9710531223261373
99	0.00014945796584706173	3.0970490138767286e-08	4.62617651705546e-07	4.3242750683990446e-08	5.203257588278397e-09	0.00028733617570055346	0.00036494028714804727	0.028054861032731134	0.9712923204702599
100	0.0001494678034322578	2.8250129306312045e-08	4.597561049778723e-07	3.944414650770136e-08	4.746184128637637e-09	0.00026208012125862433	0.0003328606611557194	0.02787949041117585	0.9715250366098347
