time	Active_R2	Active_Rec	Active_Rec_endo	Inactive_Rec	S2_c	S2_n	S4_c	S4_n	S7	Smad7mRNA	Smad7mRNA1	TGFb	TGFb_In	TGFb_R1_endo	TGFb_R1_surface	TGFb_R2_endo	TGFb_R2_surface	pS2_c	pS2_n	pS2_pS2_S4_c	pS2_pS2_S4_n	pS2_pS2_pS2_c	pS2_pS2_pS2_n
72.0.	2.533848154583591	10.292395018020377	1.427913570530076	12.486805073553162	239.52719910105105	112.8605804925986	290.39336425805686	219.4445480844075	2.705087983910747	0.42700848286464405	2.923931794430871	99.21102208810792	0.13798913966706	15.843092570725652	8.578399213400346	8.433164482079048	0.274437433446591	0.316336747614818	0.47177165981071406	79.73631130543878	130.66465654899827	4.152673516273925	110.56220862589382
75.0.	2.502778894905367	10.208948486821386	1.416483531588848	12.692956091203138	239.8003174613698	112.8477903071631	291.48352702302793	218.96310116700138	2.772164609159706	0.43293927271700505	2.931486619229728	99.1726520512258	0.137322090564088	15.905394770794292	8.662810979914614	8.371698201306867	0.272621614190298	0.314639537403055	0.471322777974836	79.17290754545603	130.0925854564281	4.07673040385057	111.93372890066681
78.0.	2.472831914035097	10.124090233791543	1.4048322150847952	12.90054406274759	240.21637334043893	112.8926250840824	292.511958691827	218.51590733677918	2.841032586053029	0.437531608113912	2.9337260314448983	99.1336920725235	0.13663631727974102	15.962033692626765	8.744662226750494	8.308801868730212	0.270909705759142	0.31304787512229704	0.47086131151703003	78.64474136610404	129.53924830775625	4.006591992226975	113.11950720232826
81.0.	2.443905081849133	10.038207941760014	1.393016643878113	13.108916340110387	240.75974809280717	112.9889452078141	293.4838916280776	218.100011664914	2.911512432234567	0.440934860852541	2.931376323406282	99.09413931233567	0.13593599468216902	16.013854705555435	8.824269694622325	8.244797979677386	0.26929034613484204	0.311552181094576	0.47038908169576904	78.14865663713898	129.00344756505032	3.9416717943592112	114.13806195399636
84.0.	2.415913215095655	9.951637453904102	1.381086287908879	13.317498161412221	241.4165383858306	113.1312659821561	294.4041732038414	217.71268182503832	2.983441366600068	0.443286867148861	2.92507676932135	99.05399263826165	0.13522473661977802	16.06158701568629	8.901900100763568	8.179972590590612	0.267753940553665	0.310143701753803	0.46990764730886303	77.68175975761632	128.48400801244355	3.881439386518955	115.00608562364222
87.0.	2.38878502773787	9.864668783074	1.369083928095638	13.5257863191304	242.17435301778426	113.3146829920847	295.27727928442545	217.35139831409296	3.056671921179057	0.444713655143655	2.915389131429458	99.01325241691418	0.134505663153435	16.105856851839857	8.97777693160242	8.114578018181422	0.266292372954392	0.308814454151208	0.46941834185262704	77.24140425288978	127.97979037167372	3.825417432346522	115.73862107933363
90.0.	2.362460616497896	9.777551563839346	1.357046442960279	13.733342748878808	243.0221349708754	113.53480652087359	296.1073304725962	217.01384328924976	3.1310706069574312	0.44532959898907704	2.902806263888337	98.97192032342545	0.133781460994488	16.14719972016331	9.052086495223762	8.048835679588773	0.264898763519882	0.307557170504034	0.46892230802906903	76.82517465780364	127.48970221034772	3.773177758609688	116.3492229153344
93.0.	2.336889388360634	9.690499964740683	1.345005519549509	13.93978825273442	243.9500060104932	113.78770397330719	296.8981103163304	216.69788898359266	3.206516649256146	0.44523785564890705	2.887759880667522	98.92999916862865	0.13305443755110602	16.186071636710626	9.124983277818888	7.982938940987782	0.263567265039838	0.306365243756173	0.468420527755782	76.43087016128321	127.0127058215773	3.724337089741891	116.85010423894956
96.0.	2.312028353667621	9.603697088125694	1.33298829186947	14.144796497223677	244.94913098689224	114.06984927674726	297.6530847752879	216.40158600786197	3.282900801425896	0.444530980014386	2.87062754862365	98.88749274334346	0.13232656903227502	16.22285931120848	9.196594656217336	7.917055886106808	0.26229289200654404	0.305232674999227	0.467913847544182	76.05648844958473	126.54782330278971	3.678552784285111	117.25226971847218
99.0.	2.287840721982087	9.517298891116639	1.321017911118942	14.348088372454871	246.0115991795712	114.37807833372634	298.37542232851416	216.12315167745888	3.360124240901874	0.44329164313629305	2.8517389649255422	98.84440567887911	0.13159954308381802	16.257889298094657	9.267025022131588	7.851331947847842	0.26107137732748603	0.304154023369046	0.46740299973778204	75.70021007050246	126.09413928490456	3.63551876000282	117.56563585498667
