	Ib	It	Iv	Sb	St	Sv
75	420119.8603047432	220403.2426057969	2050355.3138342663	2195083.860769799	2478234.19101131	14888050.283240592
76	430486.3318039835	226179.93062549297	2103809.3808090845	2182518.155592993	2474331.900491605	14840481.148558173
77	441034.8578600528	232089.5996980796	2158374.108136395	2169688.52672002	2470244.0656523476	14791340.639966888
78	451765.3031390351	238133.88983688137	2214057.814842123	2156593.780431685	2465968.052627711	14740612.207535714
79	462677.3303749361	244314.38960459502	2270868.0528167747	2143232.929815077	2461501.267799667	14688280.020734323
80	473770.39178490156	250632.63153621543	2328811.560006	2129605.205047456	2456841.1628451413	14634329.021901257
81	485043.7205523889	257090.0874415539	2387894.2129923445	2115710.063679377	2451985.239940998	14578744.980696991
82	496496.3224118813	263688.1635938489	2448120.9790824563	2101547.200882615	2446931.057121243	14521514.549431395
83	508126.96737068106	270428.19581187685	2509495.8680243045	2087116.5596262105	2441676.2337798625	14462625.319143767
84	519934.1816051268	277311.44444387045	2572021.883488904	2072418.3407418504	2436218.4563117595	14402065.876302568
85	531916.2395702731	284339.08926246065	2635700.9744608765	2057453.0128378074	2430555.483883251	14339825.859981095
86	544071.1563637203	291512.2242808127	2700533.986692206	2042221.322018671	2424685.154322571	14275896.019353969
87	556396.6803858329	298831.85250110645	2766520.6143835657	2026724.3013662281	2418605.3901197463	14210268.271348093
88	568890.2863399839	306298.880607498	2833659.352267386	2010963.2801350849	2412314.2045241203	14142935.75827039
89	581549.1686177053	313914.1136166933	2901947.44827632	1994939.892615024	2405809.707726717	14073892.905223802
90	594370.2351146573	321678.24950024515	2971380.856989798	1978656.0866106942	2399090.1131135267	14003135.477112344
91	607350.1015241856	329591.87379367533	3041954.1940600644	1962114.1314879886	2392153.7435746966	13930660.635025773
92	620485.0861558537	337655.454208496	3113660.691827211	1945316.6257354745	2384999.037853496	13856466.991784563
93	633771.2053267116	345869.33526415704	3186492.156340199	1928266.5039884732	2377624.556917846	13780554.666416679
94	647204.1693731615	354233.73295787344	3260438.926007602	1910967.0434629044	2370028.9903361266	13702925.337329092
95	660779.3793310784	362748.72949117015	3335489.832107621	1893421.8697458275	2362211.162637933	13623582.293929322
96	674491.9243313408	371414.26807282865	3411632.1613918683	1875634.9618897336	2354170.0396394664	13542530.486445427
97	688336.5797570779	380230.14781870705	3488851.621021212	1857610.6567581182	2345904.7347122664	13459776.57368718
98	702307.8062077492	389196.0187696343	3567132.306074676	1839353.6525706789	2337414.514973117	13375328.9684865
99	716399.7493136089	398311.3770492281	3646456.6698737135	1820869.0115977118	2328698.8073721114	13289197.88055191
100	730606.2404421653	407575.56018406287	3726805.497364237	1802162.1619548614	2319757.204655118	13201395.356469817
