time	AcCoA	AcP	Acs	HOAc	LacI	OAc	Pta
345.0.	0.046758356078303004	2.421352738114279	1.01128103848885	0.000178566666594	0.050564051924442	1.6555241429875291	0.022614892125451
350.0.	0.062268000220892	2.34297076874403	1.225734357032875	0.000201336483985	0.061286717851643004	1.490942600277737	0.019474073501742
355.0.	0.071548041868494	1.8835812119317312	1.282710593984752	0.000204115102714	0.064135529699237	1.047577254683618	0.016562895294353
360.0.	0.06783832472946201	1.309249551907398	1.161838571344834	0.000185554037318	0.058091928567241005	0.5885427209609351	0.01455684826299
365.0.	0.05647899704259401	0.9376966784927441	0.9628398793536881	0.000156628552947	0.048141993967684	0.35612169564343904	0.013891744666017001
370.0.	0.046661255138285	0.8732084195858041	0.7797361022951661	0.00013085796859000002	0.038986805114758	0.363285478591509	0.014980216485089001
375.0.	0.03839128089351	1.06254527289916	0.655756679546274	0.000116426380652	0.032787833977313004	0.559827117118676	0.018026954229992002
380.0.	0.032590871311714	1.451267720519053	0.62039367273373	0.00011816092661000001	0.031019683636686002	0.9207703890749471	0.022104226683624002
385.0.	0.032924977315104	1.93237523547149	0.704453929600335	0.000136782338871	0.035222696480016004	1.332615354099218	0.024488403566023
390.0.	0.041188803717819	2.325123875105064	0.9061005264057741	0.00016605129844600002	0.045305026320288	1.612130625877169	0.023591283713729
395.0.	0.055812382839065006	2.417823652337132	1.144246688638919	0.00019352536136500002	0.057212334431945004	1.595172246291246	0.020753721311437
400.0.	0.06884997177268	2.103027304082212	1.27664517640837	0.000205421594765	0.063832258820418	1.249909110983259	0.017672664879742003
405.0.	0.07064754777827101	1.541027458973801	1.223208026987485	0.000195153724909	0.061160401349374005	0.7659816764229641	0.015258143832514
410.0.	0.061318645907134005	1.061717616651495	1.044793015522787	0.000169055829547	0.052239650776139006	0.426259660375958	0.014002302324466
415.0.	0.050445840090463004	0.873284744885075	0.84942854606075	0.00014091485278700002	0.042471427303037004	0.34232358199309504	0.014322702669024
420.0.	0.0417391856013	0.9631222116549841	0.698746783286266	0.000121209340365	0.034937339164313005	0.46131909660998005	0.016564793957437002
425.0.	0.034522762575787	1.276053562850612	0.623661903945515	0.000115907594817	0.031183095197275003	0.760186519879207	0.020425496780955
430.0.	0.032006769122873	1.7343125767308711	0.655904396565951	0.000127823237268	0.032795219828297	1.168389843580195	0.023826688367459003
435.0.	0.036951434468555006	2.185158963373886	0.8129292464281721	0.00015373217330600001	0.040646462321408006	1.522264190760887	0.024235021717783002
440.0.	0.049437523068103006	2.421739805494825	1.049649842793771	0.00018343650773500002	0.052482492139688	1.639772915654553	0.021971703674280002
445.0.	0.064341648276568	2.271767595871204	1.240118423861672	0.00020293684695700003	0.062005921193083006	1.4200418289910481	0.018863261921102003
450.0.	0.07139238746715601	1.778292787137039	1.262530429231781	0.00020169964425300002	0.06312652146158901	0.961601847384518	0.016123365819307
455.0.	0.06583643151075601	1.231082298857534	1.122626167991124	0.000180709118915	0.056131308399556004	0.537600574064734	0.014357715953234
460.0.	0.054548088041472	0.917260467115627	0.924856787747642	0.000151959957273	0.046242839387382	0.35270488358566304	0.013993513863213002
465.0.	0.04516852034154	0.9013483534459841	0.7525121998507891	0.00012805123346200001	0.037625609992539	0.39399616308898805	0.015430288274839
470.0.	0.037152564205428	1.128964205157085	0.643813325316261	0.00011639993992400001	0.032190666265813	0.622000852138837	0.018749527177577
475.0.	0.032300448512454005	1.540930607910799	0.6290637829387931	0.00012130813607900001	0.031453189146939	1.000071193000919	0.022678058715694
480.0.	0.034060289966688	2.015425054308016	0.7361656106726661	0.000142328021939	0.036808280533633005	1.396891835753189	0.024434654044786
485.0.	0.043702194378887005	2.3625811432103703	0.9508896698170081	0.00017193789400400002	0.047544483490850005	1.627784678227056	0.023047478651793
490.0.	0.058647001415437	2.378943046837951	1.176880551813972	0.00019708499658600002	0.058844027590698005	1.5456820500813282	0.020099656923474003
495.0.	0.06996844876261	2.001217623892477	1.2745015474549501	0.00020480312186600002	0.063725077372747	1.158429846091621	0.017128673027085
500.0.	0.06929178764383101	1.436509949615208	1.190498593785788	0.000190839378958	0.059524929689289005	0.687672873780613	0.014926011441610001
