time	cdhap	ce4p	cf6p	cfdp	cg1p	cg6p	cgap	cglcex	cpep	cpg	cpg2	cpg3	cpgp	cpyr	crib5p	cribu5p	csed7p	cxyl5p
9.0.600000000000001.0	0.24859118520505502	0.13389213367296401	0.941417555843676	0.584470077634177	0.794290135917583	5.482358335904474	0.27615631700874504	1.874086365535521	3.108703526720109	1.032415527297401	0.47151491964818004	2.545815048025107	0.0025579953485740004	4.159490536201865	0.542097755886328	0.146903332399718	0.446006786485912	0.195357469037706
10.0.	0.254009866183632	0.136250770813968	0.945237976869373	0.608819354181464	0.7999023890524011	5.50480152316204	0.28285376690746	1.870071448579636	3.152458485256413	1.040151038245671	0.47815676874247903	2.581665012567595	0.0026198026788920004	4.154645261216784	0.547409614932238	0.14814349180709502	0.44468138460731904	0.19733804554517
10.0.4.0	0.259621267565046	0.13865697250483802	0.9488291900141351	0.6346148268588541	0.805353658337833	5.525912308259547	0.28978109464135404	1.866064456877274	3.195015478387931	1.047694753313714	0.484623225078164	2.616590442609962	0.002683205801506	4.150466615544576	0.552743709781614	0.149394307718364	0.44316035086905003	0.199327383639017
10.0.8.0	0.26540336644990103	0.141101631788209	0.9521991895181141	0.6618164215993101	0.8106384634983	5.545737816038807	0.29691093871794705	1.862064428923671	3.236185411675868	1.055052825056378	0.490886302369529	2.650442550751671	0.0027479474079260004	4.146852483354216	0.5580835116917581	0.15065122765917702	0.44147766772698904	0.20131848391206303
11.0.200000000000001.0	0.271339104425598	0.14357711371037302	0.955351143057482	0.6903997222522631	0.8157515429134611	5.564297357177819	0.304220739681396	1.858070673640709	3.275747393990771	1.06223107996796	0.496913516941536	2.683049508103589	0.0028137520529810003	4.143709376998619	0.5634152392964591	0.151910532441591	0.439658997199233	0.20330511058066603
11.0.600000000000001.0	0.27741553889277304	0.14607691202849502	0.958283465979582	0.7203538862982961	0.8206876780253011	5.581582850505987	0.311691803324384	1.854082724474424	3.313445178723615	1.06923488671381	0.502667358298998	2.714213608617743	0.002880319053747	4.140952862721344	0.568727137201085	0.15316917938524902	0.437722923980259	0.205281528457079
12.0.	0.283623216776599	0.148595372792577	0.9609897684328711	0.7516803391640351	0.825441530400955	5.59755852968652	0.319308556025922	1.8501003021926221	3.348981999036781	1.07606905600541	0.5081045248220181	2.743707202898645	0.002947314309627	4.138507444399139	0.5740088610546681	0.15442464523913202	0.43568193648013104	0.20724226007513802
12.0.4.0	0.28995573547478304	0.151127470347411	0.9634586688226191	0.7843921593478851	0.830007485119844	5.612159897002973	0.327057954590578	1.846123285421558	3.382013849614226	1.082737754907497	0.5131749318181771	2.7712674378385893	0.003014360859871	4.136306071202621	0.579250930822879	0.15567475835650102	0.433543159591653	0.20918185250314303
12.0.8.0	0.296409461147498	0.15366862168527	0.9656734647406181	0.8185140909135311	0.8343794943861731	5.625291874167344	0.33492901479153303	1.842151688136791	3.412141188619152	1.08924441780173	0.517820487021582	2.796589772623184	0.0030810279373530004	4.134289388715381	0.58444421365166	0.15691751092675102	0.43130886093630105	0.21109464379117301
13.0.200000000000001.0	0.302983380549586	0.156214525747552	0.9676116474888821	0.8540831443206091	0.8385509152972921	5.636826071112283	0.34291242534363303	1.8381856435532642	3.438898958756373	1.095591635870899	0.5219736170215931	2.819320178654449	0.003146818214238	4.132404814302855	0.5895794013204011	0.158150844447558	0.428976753522309	0.212974519473101
